FSC-A,FSC-H,FSC-W,SSC-A,SSC-H,SSC-W,585/15 YG E-A,530/30 Blue B-A,Time
1.332048906250000000e+05,8.372100000000000000e+04,1.042715312500000000e+05,6.734311718750000000e+04,5.451600000000000000e+04,8.095602343750000000e+04,3.058160156250000000e+03,8.370799804687500000e+03,8.371400390624999943e+01
1.208237343750000000e+05,7.579500000000000000e+04,1.044700156250000000e+05,6.608988281250000000e+04,5.334300000000000000e+04,8.119653125000000000e+04,8.163979980468750000e+03,1.735835937500000000e+04,8.371799804687499602e+01
7.779267968750000000e+04,4.846000000000000000e+04,1.052047343750000000e+05,9.276220312500000000e+04,7.355300000000000000e+04,8.265147656250000000e+04,6.938479980468750000e+03,9.997360351562500000e+03,8.372599609374999829e+01
1.246846953125000000e+05,7.518400000000000000e+04,1.086845078125000000e+05,9.187480468750000000e+04,7.640000000000000000e+04,7.881030468750000000e+04,9.903759765625000000e+03,1.363195996093750000e+04,8.373000000000000398e+01
9.837010937500000000e+04,6.037500000000000000e+04,1.067790234375000000e+05,5.121216015625000000e+04,4.441500000000000000e+04,7.556546875000000000e+04,2.356400146484375000e+03,1.824848046875000000e+04,8.373799804687500625e+01
8.201648437500000000e+04,5.790600000000000000e+04,9.282341406250000000e+04,2.965208007812500000e+04,2.655800000000000000e+04,7.317112500000000000e+04,2.268679931640625000e+03,4.748439941406250000e+03,8.373799804687500625e+01
1.774596093750000000e+05,1.194000000000000000e+05,9.740363281250000000e+04,1.002374375000000000e+05,7.494500000000000000e+04,8.765309375000000000e+04,1.035783984375000000e+04,1.501304003906250000e+04,8.374200195312499773e+01
9.656824218750000000e+04,6.034400000000000000e+04,1.048769765625000000e+05,6.552208203125000000e+04,5.076900000000000000e+04,8.458026562500000000e+04,7.249800292968750000e+03,8.081120117187500000e+03,8.374299804687500171e+01
1.241348125000000000e+05,7.967500000000000000e+04,1.021060546875000000e+05,9.578956250000000000e+04,6.819800000000000000e+04,9.205057031250000000e+04,4.882220214843750000e+03,1.405628027343750000e+04,8.375099609375000398e+01
1.046937265625000000e+05,7.383900000000000000e+04,9.292119531250000000e+04,4.921567968750000000e+04,4.560200000000000000e+04,7.072932812500000000e+04,5.326840332031250000e+03,8.767919921875000000e+03,8.376700195312500341e+01
9.985277343750000000e+04,6.710300000000000000e+04,9.752100000000000000e+04,4.286651953125000000e+04,3.875400000000000000e+04,7.249059375000000000e+04,1.935000000000000000e+03,2.873000000000000000e+03,8.377500000000000568e+01
9.086412500000000000e+04,5.690600000000000000e+04,1.046440000000000000e+05,3.460519921875000000e+04,3.057900000000000000e+04,7.416483593750000000e+04,1.344180053710937500e+03,6.390640136718750000e+03,8.382500000000000284e+01
8.185305468750000000e+04,5.446500000000000000e+04,9.849117187500000000e+04,3.474867968750000000e+04,3.112500000000000000e+04,7.316592968750000000e+04,5.109260253906250000e+03,8.070240234375000000e+03,8.383299804687500512e+01
7.271632031250000000e+04,4.572800000000000000e+04,1.042148515625000000e+05,8.227932031250000000e+04,6.138400000000000000e+04,8.784467968750000000e+04,5.104959960937500000e+03,6.672160156250000000e+03,8.383299804687500512e+01
1.492104062500000000e+05,9.258800000000000000e+04,1.056146953125000000e+05,7.231664062500000000e+04,5.919200000000000000e+04,8.006729687500000000e+04,4.785899902343750000e+03,1.038224023437500000e+04,8.383400390625000398e+01
9.983684375000000000e+04,6.522400000000000000e+04,1.003144140625000000e+05,4.112028125000000000e+04,3.756000000000000000e+04,7.174810937500000000e+04,3.536320068359375000e+03,4.848399902343750000e+03,8.383700195312499659e+01
9.640599218750000000e+04,6.500000000000000000e+04,9.720097656250000000e+04,4.647664062500000000e+04,4.065700000000000000e+04,7.491682812500000000e+04,5.746520019531250000e+03,1.096704003906250000e+04,8.384400390624999488e+01
1.381012968750000000e+05,8.160400000000000000e+04,1.109088671875000000e+05,6.170387890625000000e+04,5.170800000000000000e+04,7.820503125000000000e+04,8.712660156250000000e+03,1.323620019531250000e+04,8.384499999999999886e+01
9.581599218750000000e+04,5.875200000000000000e+04,1.068797187500000000e+05,4.581567968750000000e+04,3.850400000000000000e+04,7.798089843750000000e+04,5.967540039062500000e+03,8.955599609375000000e+03,8.384499999999999886e+01
1.291686953125000000e+05,7.451700000000000000e+04,1.136009140625000000e+05,9.815256250000000000e+04,6.021700000000000000e+04,1.068224296875000000e+05,5.864340332031250000e+03,2.055640039062500000e+04,8.384599609375000284e+01
8.003762500000000000e+04,6.196900000000000000e+04,8.464467187500000000e+04,3.784471875000000000e+04,3.502100000000000000e+04,7.082011718750000000e+04,2.078620117187500000e+03,2.797520019531250000e+03,8.385500000000000398e+01
1.266334609375000000e+05,9.412900000000000000e+04,8.816677343750000000e+04,7.109739843750000000e+04,6.406900000000000000e+04,7.272532812500000000e+04,4.805680175781250000e+03,7.826120117187500000e+03,8.385900390624999545e+01
6.874975000000000000e+04,4.487000000000000000e+04,1.004141640625000000e+05,3.594208203125000000e+04,3.082600000000000000e+04,7.641277343750000000e+04,4.046300048828125000e+03,8.655040039062500000e+03,8.386299804687500625e+01
1.070796875000000000e+05,7.752100000000000000e+04,9.052482812500000000e+04,7.421792187500000000e+04,5.995300000000000000e+04,8.112932031250000000e+04,8.656759765625000000e+03,1.637779980468750000e+04,8.387799804687500682e+01
9.045584375000000000e+04,6.239700000000000000e+04,9.500639843750000000e+04,3.522944140625000000e+04,3.166400000000000000e+04,7.291551562500000000e+04,4.938120117187500000e+03,6.328760253906250000e+03,8.390700195312500398e+01
1.250929765625000000e+05,8.221900000000000000e+04,9.971045312500000000e+04,5.385192187500000000e+04,4.608600000000000000e+04,7.657942968750000000e+04,3.099439941406250000e+03,4.384640136718750000e+03,8.391599609374999602e+01
1.205175234375000000e+05,7.277100000000000000e+04,1.085354921875000000e+05,9.854220312500000000e+04,6.372300000000000000e+04,1.013458515625000000e+05,5.317379882812500000e+03,1.339191992187500000e+04,8.391799804687499886e+01
9.628209375000000000e+04,6.347700000000000000e+04,9.940518750000000000e+04,4.423128125000000000e+04,3.741700000000000000e+04,7.747123437500000000e+04,5.596020019531250000e+03,1.392979980468750000e+04,8.392599609375000114e+01
1.104774921875000000e+05,7.997900000000000000e+04,9.052692968750000000e+04,4.106451953125000000e+04,3.642200000000000000e+04,7.388952343750000000e+04,2.720179931640625000e+03,4.653240234375000000e+03,8.392799804687500398e+01
1.153485312500000000e+05,7.277200000000000000e+04,1.038789765625000000e+05,4.405108203125000000e+04,3.888800000000000000e+04,7.423708593750000000e+04,1.656359985351562500e+03,4.326839843750000000e+03,8.393900390625000796e+01
1.150718281250000000e+05,7.284800000000000000e+04,1.035216796875000000e+05,4.534851953125000000e+04,3.583200000000000000e+04,8.294152343750000000e+04,3.222420166015625000e+03,1.387879980468750000e+04,8.393999999999999773e+01
9.736769531250000000e+04,5.817300000000000000e+04,1.096916015625000000e+05,5.574776171875000000e+04,4.632000000000000000e+04,7.887490625000000000e+04,7.515540039062500000e+03,1.206591992187500000e+04,8.394200195312500057e+01
8.303010937500000000e+04,6.065900000000000000e+04,8.970575000000000000e+04,4.716480078125000000e+04,3.702300000000000000e+04,8.348843750000000000e+04,5.620959960937500000e+03,1.497156054687500000e+04,8.394900390624999886e+01
1.315871093750000000e+05,8.140200000000000000e+04,1.059395703125000000e+05,6.345896093750000000e+04,5.546300000000000000e+04,7.498416406250000000e+04,4.336979980468750000e+03,6.097560058593750000e+03,8.395299804687499545e+01
