"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue B-A","585_15 YG E-A","Time"
168953,142120,77909.7,70656.5,61834,74886.7,24718.2,51170.8,0.594
155008,131229,77411.5,54053.8,48363,73247.5,21863.5,39901.7,0.595
127839,113746,73655.9,46609.9,42504,71866.8,21023.1,38731.5,0.595
114778,96476,77968.7,62809.4,51898,79314.7,4559.47,7562.04,0.599
147969,130396,74368.1,56226.6,50526,72930.1,27782.2,47909.2,0.599
150642,132324,74608.2,48770,43862,72869.3,19993.8,30214.2,0.605
108987,101172,70598.2,64502.3,58050,72820.4,19607,37226.4,0.606
139197,120304,75828,55730.2,44722,81667.6,7061.75,10131.2,0.607
82980.3,70757,76857.4,47931.1,40387,77777.8,20566.3,36246.8,0.608
133831,113033,77594.6,66797.3,54859,79797.9,38281.5,57520.9,0.611
92408.9,83837,72236.8,49897.6,45387,72049,10434.9,25773.8,0.612
131001,114316,75101.4,40268.7,36270,72761.1,32260.8,45923.8,0.615
104611,91892,74606.9,42300,38470,72060.6,5178.46,15864.5,0.615
101620,91239,72992.2,44148,40189,71992,14704,38001.6,0.617
132096,115395,75020.9,57005.4,46681,80030.5,19842.9,32388.4,0.619
118394,108015,71833.5,44780.7,39312,74652.7,8444.96,19070.4,0.62
128971,117466,71954.9,64827.6,56289,75477.3,6731.34,19918.7,0.62
145519,131885,72310.8,61116,55711,71894.2,9149.49,20476.3,0.621
149968,135024,72789.2,55680.4,49346,73948.7,21509.6,39763.4,0.625
88052.7,76224,75706.1,33875.7,30566,72632.3,3586.1,9565.65,0.625
139059,118668,76797.2,59603.1,52638,74207.7,18580.5,33172.2,0.627
75353.5,67757,72883.5,50228.4,45067,73041.7,15145.3,44451.8,0.629
100102,84884,77285.6,59500.1,49922,78109.9,21407.1,53226.6,0.63
145105,121012,78584,76457.7,66246,75638.3,21403.3,53600.7,0.631
100597,91545,72016.5,36923.2,34907,69321.3,19724.5,32714.6,0.633
99152.1,89525,72583.4,31012.9,28663,70909,5896.62,9160.23,0.635
93296.3,81508,75014.3,37448.7,33654,72925.5,11162.5,19967.4,0.64
117247,100645,76346.3,49286.6,39635,81494.7,12551.3,28173.2,0.641
160219,133313,78762.8,60815.2,54835,72683.2,16302.4,47228.8,0.643
123327,108465,74515.8,56121.3,50295,73127.8,23859.6,37608.4,0.645
100612,88789,74262.8,34977.9,32963,69541.9,6400.93,21576.9,0.648
126444,111015,74644.5,46641.9,41677,73343.1,16831.2,39210,0.649
115714,104393,72643.1,43537,39455,72316.4,17919.2,34425,0.655
123213,107821,74891.8,40383.8,36543,72424.1,13436.8,28543,0.659
151996,128964,77240.4,88574.3,72022,80597.7,25198.1,53720.8,0.665
126751,112685,73716.4,43302,39567,71722.5,22303.4,34713.9,0.666
164004,132219,81290.5,58697.8,49812,77226.8,14823.8,26013,0.667
146050,123613,77431.4,62354.9,54123,75503.8,8488.67,17946.4,0.668
120164,107712,73112.2,38512.7,35586,70925.9,13689.7,23838,0.668
143483,123269,76282.9,67671.5,57127,77632.7,16354.6,26427.1,0.668
97238,85914,74174.1,36472.5,33255,71876.7,10462.7,32950.4,0.669
79465,68472,76057.6,50167.8,43674,75280.4,17963.4,27037.9,0.671
94789,83932,74013.4,35580.9,32938,70794.5,13082.5,30337.8,0.672
91673.9,80304,74814.9,38723.3,34150,74312.4,7587.21,21069.7,0.673
152359,129633,77025.1,62381.7,54999,74333.1,30469.2,38636.7,0.678
109889,96049,74979.6,54840.1,46035,78071,14787.1,28482.9,0.683
114338,96196,77895.7,62443.7,51106,80075,13396.9,24488.8,0.684
175956,147068,78409,70073.7,62414,73578.9,34901.7,82003.6,0.684
124561,110032,74189.4,40040.7,36118,72653.7,20604.3,33816.9,0.685
141283,122876,75353.4,47313.5,42634,72729.2,18906.2,27562.5,0.686
114838,99716,75474.3,52119.2,43410,78684.3,31814.3,70881.5,0.686
138435,116745,77712,63015.2,53215,77605.3,39135.5,88640,0.686
129995,120096,70937.9,44941.4,42038,70062.3,20169.1,33573.3,0.688
106277,95944,72594.1,37709,33082,74702.2,11342,18016.8,0.689
168004,140519,78354.6,78469.3,67625,76045.3,34916.3,72092.5,0.69
81635.3,70213,76197.4,28487.6,26259,71098.1,7366.78,21071.4,0.691
158755,139907,74364.8,64302.6,57417,73395.2,24123.2,44861.6,0.691
113932,102852,72596,61654.6,57078,70790.8,23049.3,56492.6,0.691
139249,125273,72847.7,65905.3,56767,76085.9,41215.7,64507,0.692
107601,95848,73572.4,43459.5,37322,76313.2,37811.5,60632.9,0.692
136213,125654,71043.1,70527.3,62120,74405.6,15471.5,47564.6,0.693
135242,121873,72725,40569,37015,71828.4,10673.2,14612.5,0.695
167814,145805,75428.5,57708,51515,73414.6,15772.3,50011.9,0.697
129375,114928,73774.2,38431,33510,75160,17916.4,30550.9,0.699
128866,112553,75034.7,46084,41359,73023,6962.58,26691.6,0.704
111644,96608,75735.9,45363.5,39570,75131.2,29376.4,41193.6,0.705
93101.7,85092,71704.9,38200.7,35298,70925.2,11115,31415.7,0.705
140011,122230,75069.4,50146.6,45644,72000.9,22207,55367.7,0.705
131215,117215,73363.3,42644,37616,74296,19146.9,32852.9,0.708
116927,102644,74655.6,47309.3,43382,71468.8,22906.4,32446.7,0.709
161505,140132,75531.6,58638.1,49090,78282.9,22165.7,35962.3,0.713
145591,127672,74734.3,57170.3,49626,75499,30492.2,54462,0.714
111570,93877,77887.4,48326.3,42931,73772.2,19418.5,37203.8,0.716
158294,141335,73399.7,63976.9,58025,72258.3,15953.7,31175.6,0.716
128945,115615,73092,34077.8,31805,70219.3,10266.7,25892.9,0.718
157598,137487,75122.5,52032.8,47408,71929.2,19379.5,40239.2,0.72
122218,109745,72984.7,52825.6,46231,74884.4,40773.4,60933.1,0.721
136166,122032,73126.5,51067.4,45474,73597,12433.8,20329.3,0.721
105086,93349,73776.1,54124.3,48295,73446.3,31168.5,50297.3,0.725
133233,120557,72426.6,35219.9,32015,72096.6,12822.5,28077.5,0.729
134453,116214,75821.4,97455.9,76620,83357.7,50865.8,76161.5,0.729
126716,112328,73930.6,44833.8,39914,73613.9,22352.7,51094.2,0.729
140010,112297,81709,93328.4,78991,77431.2,35875.6,67420.6,0.729
101194,91048,72839.4,36120,33198,71304.2,10583.5,26162.6,0.731
131933,118252,73117.9,55584.1,50906,71558.5,16000.7,32918.2,0.732
153128,133481,75182.2,51624.8,47551,71150.6,21636.9,45885.5,0.735
99130.9,84696,76705.4,42493.6,36954,75360.3,17896.2,37397.8,0.735
88802.1,82068,70913.5,38596.4,35094,72076.5,14407.8,28856.2,0.736
94887,75543,82317.5,70800.8,55627,83412.8,41676.8,67403.2,0.737
164366,145522,74022.3,44330.4,39564,73431.3,24166.5,44597.1,0.742
94730.6,87434,71005.1,33181.1,31173,69757.6,8683.25,16513.5,0.742
133226,119643,72976.3,46240,42356,71545.6,13193.4,34170.1,0.745
142164,127888,72851.7,40511.6,37650,70517.2,8226.88,20248.4,0.746
168633,139661,79131,73143.8,63723,75224.8,25081.1,48048.4,0.747
162364,137167,77574.9,76253.7,66272,75406.9,32215.2,84015,0.748
