"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue B-A","585_15 YG E-A","Time"
166301,152357,71533.8,77780.3,68947,73932.3,69239.5,717.75,0.562
94988.2,85776,72574.4,41591.7,38370,71038.7,11717.1,314.94,0.563
131595,118902,72532.1,52349.1,46156,74329.4,8217.95,74.82,0.564
119712,103424,75857.3,55044.1,48710,74058,30279.3,153.99,0.573
164373,141520,76119,63873.5,55906,74875.9,31506,459.36,0.574
107994,97529,72568.2,57961.3,50287,75537.5,39276.5,327.12,0.577
99653,90280,72340.1,37049.2,33738,71967.9,17320.4,389.76,0.577
112992,101732,72789.8,31797.8,29042,71754.8,8153.09,175.74,0.579
105076,95493,72112.4,36001.5,33079,71326.1,30053.2,421.08,0.583
127536,111830,74740.2,48975.4,40762,78741.3,9650.04,141.81,0.585
125801,113945,72355.2,54691.1,49867,71875.9,35637.8,463.71,0.586
130832,119940,71487.6,53790.1,46886,75186.4,29673,184.44,0.588
102614,91064,73848.5,39193.8,35630,72091,20014.9,225.33,0.59
135258,120716,73431,44759,39614,74047.8,25625.8,504.6,0.599
102373,91537,73294.4,23521.2,21479,71766.9,10665.7,189.66,0.6
104176,82796,82458.8,67183.2,56446,78002.3,16980.2,214.89,0.606
123590,110720,73153.9,60746.6,52498,75833.1,26634.9,203.58,0.606
122515,108633,73910.7,69217.4,59775,75888.4,16578.3,270.57,0.608
99050.9,88488,73359.1,34174.2,31326,71494.6,21362,354.96,0.609
124334,112588,72373.4,44651.4,40510,72235.9,34385.7,217.5,0.611
136022,122872,72549.8,62266.1,53374,76454.3,44753.9,473.28,0.617
143452,125460,74934.6,63001.6,56678,72847.9,31028.5,426.3,0.617
108542,97445,72999.3,30902.5,28759,70420.6,5209.01,13.05,0.618
112608,98764,74722,41798.5,37514,73020.9,24410.4,254.91,0.618
125038,116013,70634.3,54425.1,47611,74915.5,12835.2,456.75,0.622
119848,109251,71892.8,49147.4,43437,74151.7,26547,200.97,0.625
121251,103152,77034.9,75334.9,64178,76929,36594.7,323.64,0.627
135315,117653,75374.2,66102.2,58471,74089.3,36039.6,776.91,0.627
170175,143525,77704.7,59576.3,53363,73166.6,42005.8,713.4,0.627
110592,99177,73079.2,32509,30719,69354.7,19949.6,120.93,0.632
91414.9,78352,76462.2,45823.1,39730,75586.8,34609.9,178.35,0.635
120187,98972,79583.9,89886.1,71514,82372.3,73816.3,314.94,0.636
122498,104945,76497.2,58525.3,52951,72435.2,27185.7,179.22,0.639
110590,101204,71614,41522.6,37398,72764,32524.5,329.73,0.647
89505,78584,74643.7,29179,26958,70935.4,9050.79,179.22,0.648
145155,136124,69883.8,65916.6,55546,77771.7,51181.6,379.32,0.649
99561.5,90040,72466.2,40303,36442,72479.4,26384.9,479.37,0.65
113850,99053,75325.8,42178.7,36235,76286.1,30110.1,71.34,0.651
95161.6,83182,74974.3,56780.7,48677,76446.4,23324.7,371.49,0.652
113736,105961,70344.7,40450.1,36207,73216.1,23767,618.57,0.652
130911,114541,74902.5,42530.3,38767,71897.9,9966.82,127.02,0.655
96374.6,88073,71713.3,58231.6,49067,77776.6,56447.5,281.88,0.655
119605,108963,71936.4,35249.1,32249,71632.7,9987.97,336.69,0.655
102237,90585,73966.2,69788.9,61403,74486.3,35414,368.88,0.656
142683,125485,74518,49881.1,44875,72847,40034.6,348.87,0.658
112461,102010,72250.1,37575.1,34437,71508,24046.1,269.7,0.662
104889,91420,75191.3,39328.2,35470,72664.6,9965.88,98.31,0.664
115681,104608,72473,36457.9,32774,72902.5,22223,169.65,0.666
107529,96936,72697.8,37130.9,33054,73619.3,12187.1,522.87,0.669
143675,123171,76445.9,55284.7,48141,75261,18348.8,397.59,0.673
101429,89673,74127.7,30466.8,27691,72105.5,15207.8,169.65,0.675
105436,94270,73298.3,45372.9,41847,71057.8,33997.4,836.94,0.675
159886,141905,73840.1,36439.6,33491,71305.8,10502.2,444.57,0.68
162355,144423,73673.2,55261.2,48909,74047.7,27365.3,262.74,0.682
110495,94812,76376.6,65999.3,56282,76851,39753.5,267.96,0.683
121063,102205,77628.3,74452.7,63791,76489.4,41383,358.44,0.686
