"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue B-A","Time"
57693.6,39504,95712,66507,45552,95684.2,23173.7,0.354
107767,76493,92330,66517.4,47920,90970,30203.4,0.354
102685,62533,107616,79357.6,54841,94833.8,20786.9,0.354
95971,70976,88615.2,79371.4,64640,80471.6,11042.1,0.356
110492,83058,87182.4,83542.4,63690,85963.8,23934,0.357
94266,66449,92970.8,81482.8,61325,87078,26793.4,0.359
71686.1,46632,100747,78208.7,55237,92790.9,15241.4,0.359
96289.2,65442,96427.5,87109.7,59594,95795.3,30592.5,0.36
98547.1,75556,85478.1,93749.6,82308,74646.1,13628.9,0.36
71776.1,48930,96135.7,45905.7,33674,89341.2,14107,0.362
81710.6,52816,101390,84805.1,57276,97035.2,26957.6,0.362
70748.6,54084,85729.3,58243.6,45828,83290.8,16887.1,0.363
71846.6,47845,98412.4,67171.5,45169,97459.6,21554.2,0.363
102182,74301,90127.7,67408.9,50944,86716.9,12164.7,0.364
89978.4,57752,102106,51643.7,34417,98338.7,28641.2,0.365
100604,72197,91322.3,46953.1,36125,85179.8,14848.8,0.365
87218.6,56796,100640,60717.9,41345,96244.1,25429.3,0.365
89862.5,54020,109019,103717,66540,102152,16826.3,0.368
56187.4,35113,104870,100110,63956,102583,26591.9,0.37
110979,69977,103936,82922.1,56596,96020.7,28960.7,0.373
71646.5,48569,96675.3,49096.9,35012,91900.4,19108.2,0.374
70649.3,49599,93350.1,61857.1,44162,91795.4,21392.8,0.375
69947.3,45337,101111,53363.9,35012,99887.4,18573.4,0.375
85861.4,66612,84474.5,34310.9,28408,79153.8,15354.6,0.375
119253,84884,92071,74859.5,57680,85055.3,11335.3,0.375
112434,81198,90746.8,74365.4,53934,90362.5,16946.4,0.376
131469,88828,96996,78250.8,57409,89328.3,15803.8,0.377
139525,90695,100821,90560.4,64171,92486.8,21183.7,0.377
114780,73681,102091,108164,71305,99413.3,13857.3,0.38
69923.5,50605,90554.5,57711.6,44256,85461.6,30638.8,0.381
75597.1,50204,98684,52617.3,37029,93125.1,11463,0.381
108024,76540,92493.4,86225.2,66312,85216.1,25099.4,0.382
91310.4,66168,90438.3,45607.6,34840,85790.5,17292.8,0.383
102355,77797,86223.8,81130.2,63661,83519.7,15389.8,0.384
67722.5,42672,104009,52241.3,34680,98722.2,16152.2,0.384
124097,87041,93436.7,62465.7,47193,86744.9,25963.3,0.385
64094.4,41828,100423,75066.5,56328,87337.7,16264,0.388
129203,75521,112121,174922,118849,96455.9,22531.3,0.389
115069,74549,101157,79951,51037,102664,25389.2,0.389
83396.9,52144,104815,89993.2,57860,101932,15529.1,0.39
98887.7,69964,92629.1,56617.3,43749,84812.6,17566.7,0.391
116322,76321,99884.8,122261,87089,92003.6,27150.8,0.391
68588.6,48390,92891.6,49180.4,36622,88009.6,26295.9,0.391
65965.7,46488,92994.5,80850.1,56049,94535,25545.9,0.393
78475,59364,86633.9,39405.9,31896,80966.4,10563.2,0.394
89524.1,61581,95273.7,55970,38861,94389,23080.5,0.394
56298.2,33220,111064,83882.6,57192,96120.6,23172.3,0.395
84829,60768,91484.8,59589.1,44492,87773.8,28605.3,0.396
67488.5,47109,93887,68985.5,50797,89002,19620.2,0.396
63951.8,46045,91022.9,68135.4,54432,82034.9,21484.5,0.402
89334,67521,86707.7,53906.2,42985,82186.8,30461.4,0.402
76212,50524,98856.6,58890.8,41077,93956.9,28828.9,0.403
83917.4,54910,100157,68745.4,45379,99281.6,19831.3,0.403
114440,75953,98744.2,79522.5,52269,99707,30497.3,0.405
70681,51020,90790.8,62104.8,48545,83841.8,13107.2,0.406
79468.6,50354,103429,71966.3,45838,102892,28838.6,0.408
88478.6,54596,106208,88361.4,59684,97025.2,23513.8,0.409
90511.2,68309,86836.9,72323.7,55797,84947.4,27863.6,0.411
98569.4,60757,106323,96606.2,61593,102791,23322,0.412
88919.3,57961,100540,71662,47753,98348.6,28950.3,0.412
81830.9,50923,105313,81379.3,52134,102299,16675.9,0.414
67005.4,42432,103489,73344.2,50444,95287.6,16375.1,0.414
128726,97222,86772.4,109923,78630,91617.5,19075.1,0.415
76430.9,49891,100398,78989.1,54999,94122.3,21590.8,0.416
69675.8,42529,107369,63320.6,40825,101648,22366.3,0.418
76130.6,47118,105889,57438.4,38318,98237.9,17692.3,0.418
72839.5,45203,105604,58789.4,39071,98610.8,21261,0.419
133150,94051,92780.9,118432,89791,86440,24783.4,0.421
194671,114668,111260,142540,91432,102168,13295.6,0.421
76261.7,53576,93285.9,75520.5,54293,91159.3,10637.7,0.422
65779.2,39412,109381,75753.7,48376,102625,16350.2,0.422
94243.7,65492,94307,80874.9,54664,96959.9,22959.1,0.423
72789.1,50673,94139.1,55031.6,39105,92227.4,15313.2,0.424
104962,72989,94244.5,81219.9,58032,91722.3,10906.1,0.424
91339.2,59025,101415,129719,90717,93712.1,16530.3,0.426
66605.8,46969,92935.2,61795.7,46932,86291.7,24102.4,0.427
100318,61234,107366,76334.7,50010,100033,12600.8,0.427
128299,94519,88957.8,72066.4,52463,90024.2,25534.1,0.427
69975.4,49845,92003.3,57264.5,43629,86018.1,22750,0.427
97562.9,71640,89250.2,61580.4,45429,88836.1,26540.2,0.428
45745.2,30516,98242.2,81668.4,57504,93075.6,13562.6,0.429
80253.4,54254,96941.9,67238.4,45811,96189.5,24169.3,0.431
74355.8,52266,93234.3,60775.2,43671,91203.9,17763.4,0.434
123348,90029,89790,123079,91136,88506.1,10295.5,0.434
65670.5,47588,90438.4,86216.9,66824,84555.1,20386.1,0.436
105228,80277,85905.3,51049.6,42125,79420.5,25381.7,0.436
88346.2,56232,102964,58570.6,38433,99874.7,22132.4,0.439
83242.8,54206,100642,54950.2,37367,96374.3,19605,0.442
90643.7,68200,87103,70704.3,56344,82239,30647.7,0.442
93448.8,64805,94502.9,94033.2,69977,88065.5,16442,0.444
72990.7,51928,92118.3,62309.1,47324,86287.9,19272.4,0.444
98174.9,71195,90371.4,84233.1,61942,89120.5,28038.8,0.445
104016,80653,84520.2,59211.7,49104,79026.1,13850.4,0.445
77169.6,51961,97330.4,57875.8,41485,91429.4,13573,0.447
127064,84920,98060.3,88508.4,61720,93980.6,12457.3,0.448
78727,48798,105731,54277.5,34829,102131,22977.7,0.451
116472,85570,89202.7,96188.1,68506,92017.9,13225.2,0.451
70709,54993,84265,52179.9,41501,82399.5,18863.2,0.451
93376.8,65634,93237.4,101933,79938,83568.3,29193.2,0.453
75493.4,48169,102712,79979.3,53757,97504,22376.7,0.454
97714.1,62864,101867,86352.1,56932,99402.3,28661.2,0.454
67362.5,46773,94385,53205.2,40425,86255,18016.6,0.455
107075,77130,90979.6,117085,81118,94593.9,29483,0.46
63756.7,41652,100316,69555.5,48336,94306.2,28131.3,0.46
72493.2,48852,97251.2,84531.2,63420,87351.6,19878.2,0.46
113288,82116,90413.8,68916.5,51820,87157.7,28572.2,0.463
80807,53377,99214.5,97759.2,63913,100242,19965.8,0.464
95071,59697,104370,91995.6,59133,101957,26693.3,0.465
61269.8,42825,93762.5,78542.7,60717,84776.5,27972.6,0.467
125266,83638,98154.6,84876.2,57258,97147.1,22765.2,0.468
112782,85277,86673.4,82864.2,63869,85027,24273.5,0.47
80766.7,60780,87086.7,64631.6,51429,82360.1,23132.9,0.47
101484,67129,99075.8,67965.7,46397,96001.9,29562.4,0.474
95152.3,66541,93715.2,60474.4,44205,89656.1,22251.1,0.474
125002,75085,109105,117208,75792,101347,30197.8,0.475
67135.7,43036,102235,64968.3,44501,95677.9,14176,0.478
69361.2,48629,93476.2,64399.8,47277,89271.8,17886.9,0.479
68950.8,48528,93116.6,92518,67548,89762.2,17114.1,0.48
70249.7,51028,90222.7,59798.2,44160,88743.9,22684.4,0.481
72473.8,43391,109461,73071,50050,95679.9,27484.1,0.482
71862.5,50157,93896.8,62231.8,44960,90712.2,15507.8,0.484
77737,49976,101940,87449.2,60312,95023.8,22701.7,0.484
71725.7,56167,83690,76982.6,64939,77690.3,21340.3,0.485
74539.4,52633,92812.8,72456.9,50548,93941.1,25276.1,0.487
129488,95049,89281.4,63831.2,48025,87105.5,20074.9,0.488
101508,76948,86453.4,56140.5,44112,83406.4,23100.5,0.488
82929.6,57952,93782.3,79628.8,56380,92560.3,16486.2,0.489
51339.6,32671,102984,72096.7,48930,96565.1,15632.6,0.49
96850.1,69400,91457.7,84634.7,64972,85369.4,18268.4,0.492
89181.4,61384,95213.6,76792.9,54577,92212.8,27502,0.494
61940.2,44570,91077.2,57103,41849,89424,21802.6,0.495
105223,78572,87765.3,47581,37880,82319.7,13637.8,0.495
109924,72291,99652.4,70579.4,50735,91169.6,12413.1,0.498
79980.5,62284,84156.5,66569.8,55708,78314.1,26623.7,0.5
90089.3,64178,91995.6,80399.5,59694,88267.9,12233,0.5
63221.8,42869,96650.3,61922.7,44525,91143.5,30748.5,0.501
75132,53264,92442.4,127631,82080,101906,18439.6,0.502
80633.5,59804,88362,50220.3,39708,82886,13502.6,0.502
118448,84806,91533.6,117790,87914,87807.2,17613.6,0.504
83697.1,53404,102711,79047.8,51845,99922.4,23595.2,0.504
85398.5,62737,89208.5,51212.5,39053,85941.2,21344.5,0.505
70532.6,47092,98157.4,56731.1,39176,94903.2,24021,0.506
63363.6,40152,103422,60737.2,39660,100365,20830.4,0.508
76794.5,57257,87898.5,78165.3,62189,82372.1,18864.6,0.508
113401,83841,88642.5,50013.3,37709,86920.1,27285.4,0.509
91962,68270,88279.2,77580.8,62839,80910.5,19092.3,0.509
77988.2,50209,101795,73576.8,49085,98236.3,22828.7,0.509
117944,77133,100211,58191.1,39581,96349.6,14466.5,0.51
92916,67748,89882.3,69334.6,53508,84920.3,22615.4,0.51
85530.2,59878,93612.2,60502,46442,85376.5,14423.1,0.511
74454.5,51668,94438.5,60429.5,45160,87695,16143.9,0.511
91167.8,72925,81930.4,90352.7,76448,77456,29009,0.511
109401,76063,94260.2,62475.4,44050,92948.6,25196,0.512
76215.6,48754,102450,97561.9,68490,93354,15403.6,0.512
88711.2,57056,101896,60149.4,40652,96968.2,27450.3,0.515
71599,45772,102515,51075.9,33173,100905,18534.8,0.516
87925.7,57207,100727,76338.8,49419,101235,30813.3,0.516
73777.7,45536,106182,79029.1,51296,100968,21073.3,0.518
67363.2,43193,102209,61455.5,41604,96806.8,15066.2,0.521
87462,65261,87830.6,74009.4,57648,84136.1,27108,0.523
76049.3,44104,113005,67114.9,43077,102107,30766.4,0.523
78742.8,55201,93485.4,62109.7,45833,88809.8,28486.7,0.524
90953.3,57052,104479,88251,56913,101622,14532.1,0.525
82045.4,64257,83678.5,40902.5,32229,83173.1,20745.5,0.525
75371,49333,100126,75196.9,53553,92022.9,28610.2,0.525
68971.7,48712,92792.9,61069.1,44197,90554.3,22906.6,0.526
88683.8,55153,105379,59883,39513,99321.6,10667.4,0.528
73029.6,47651,100440,54013.2,34555,102440,20074.9,0.529
68917.7,47006,96085.4,58352.6,40391,94679.4,26890.7,0.529
80244.7,55717,94386.2,89004.5,63237,92240.3,18388.5,0.529
103170,70179,96343.9,64506.7,45647,92613.1,26784.4,0.529
144281,90371,104631,112644,72811,101389,12582.8,0.531
67747,49420,89839.4,50844.7,39249,84898,29280.2,0.532
78206.4,50427,101639,72300.3,47222,100340,28572.2,0.533
78863.8,55562,93020.7,74815.3,56759,86384.5,29235.3,0.533
92814.5,65940,92245.8,58798.4,45148,85350.6,17252.1,0.535
93934.1,58565,105115,69371.2,44733,101632,11710.7,0.536
79142.4,52621,98566.7,73850,50976,94943.4,29554.1,0.537
89285.8,58534,99966.4,64498.4,44414,95172,19535.3,0.538
117540,65933,116832,86911,57296,99410.1,21848.2,0.54
70622.6,47284,97883.5,67887.7,44168,100731,28410.8,0.543
59827,40534,96729.2,64604,44646,94832.4,12070.2,0.543
84071.5,62888,87611.5,46811,36933,83064.1,12283.4,0.544
