step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,bootstrap_0,bootstrap_1,bootstrap_2,bootstrap_3,bootstrap_4,bootstrap_5,bootstrap_6,bootstrap_7,bootstrap_8,bootstrap_9
ba1,wuhan,ba4,ba4,ba1,ba4,ba1,ba4,ba1,ba1,ba1,ba4,wuhan,4212732.0,4085710.0,3974250.0,4594541.0,3997673.0,1916902.0,6241540.0,1046106.0,3047359.0,1506846.0
ba4,ba4,ba1,ba1,ba1,wuhan,wuhan,ba1,wuhan,ba1,wuhan,wuhan,wuhan,1887606.0,1334066.0,4022489.0,953130.0,1996163.0,694488.0,1987401.0,792055.0,6117919.0,1054022.0
ba1,wuhan,wuhan,ba1,ba4,ba4,ba1,ba1,ba4,ba1,ba1,wuhan,ba4,7563304.0,5335278.0,2485935.0,6819131.0,225992.0,646179.0,3471502.0,1742112.0,3650982.0,4944541.0
wuhan,ba1,ba1,ba4,ba4,ba1,ba1,wuhan,ba1,ba4,wuhan,ba1,ba4,4836648.0,5282717.0,2591830.0,5156169.0,642010.0,993514.0,4787723.0,8418817.0,2556505.0,8115601.0
ba1,wuhan,ba1,wuhan,wuhan,wuhan,ba4,ba4,ba1,ba4,ba1,ba1,wuhan,4581832.0,2652632.0,3712792.0,3727531.0,3070312.0,1608079.0,7979026.0,438276.0,3231040.0,2928543.0
ba4,wuhan,ba1,ba4,ba4,ba4,ba1,ba1,ba1,wuhan,ba1,ba4,wuhan,3816458.0,3006532.0,3424314.0,1496033.0,3315693.0,1381296.0,3045539.0,1262411.0,4953927.0,729114.0
ba1,ba1,ba1,ba1,ba4,ba1,ba1,ba4,ba1,ba1,ba1,wuhan,wuhan,2720800.0,2901651.0,4154079.0,3343950.0,3320249.0,1088452.0,6026207.0,1122899.0,4171765.0,2458527.0
ba4,wuhan,wuhan,ba1,wuhan,ba4,ba4,ba4,ba1,ba1,ba1,ba1,wuhan,4908597.0,1659267.0,4161968.0,650786.0,2989759.0,1146547.0,2791695.0,528786.0,3433972.0,1440830.0
ba4,wuhan,wuhan,ba1,wuhan,ba1,ba1,wuhan,ba4,ba4,wuhan,ba1,ba4,3754752.0,1624979.0,2459754.0,1798665.0,249202.0,321920.0,1247790.0,1960403.0,2491534.0,2963078.0
ba4,wuhan,wuhan,wuhan,wuhan,ba4,wuhan,ba1,wuhan,wuhan,ba1,wuhan,ba4,2409931.0,1405981.0,927859.0,786358.0,14424.0,64988.0,529988.0,535193.0,1998861.0,968991.0
ba4,ba4,wuhan,ba4,ba4,ba1,ba4,ba1,ba4,wuhan,ba1,wuhan,wuhan,2573083.0,1591312.0,3951350.0,1161680.0,1906612.0,670966.0,1948718.0,740352.0,5258260.0,778770.0
wuhan,wuhan,ba4,ba4,wuhan,ba4,wuhan,ba4,ba4,ba1,ba4,ba4,ba1,1286254.0,2128158.0,357778.0,711246.0,3931456.0,1223917.0,1297201.0,2298883.0,702857.0,365202.0
ba1,wuhan,wuhan,ba4,ba1,ba4,ba4,ba1,ba1,ba1,ba1,ba4,wuhan,2971535.0,3801870.0,3318719.0,4142135.0,3311760.0,1361348.0,6592751.0,832504.0,2706710.0,1134182.0
ba1,ba1,wuhan,wuhan,wuhan,wuhan,ba4,wuhan,ba4,wuhan,ba4,wuhan,ba1,1953017.0,3475083.0,355889.0,380831.0,2629678.0,1053014.0,1204089.0,689060.0,901320.0,802946.0
ba1,ba4,ba1,wuhan,ba4,ba4,wuhan,ba4,ba1,wuhan,ba1,ba1,ba4,4524270.0,4153954.0,4386530.0,10114910.0,209446.0,842199.0,6148435.0,2015293.0,3114114.0,11001480.0
wuhan,ba4,ba1,ba1,ba4,wuhan,ba1,ba4,wuhan,ba1,ba4,ba4,ba4,1253427.0,2133595.0,735974.0,3196910.0,173590.0,171680.0,2357235.0,2990789.0,1238724.0,2666741.0
ba1,ba4,ba1,ba1,wuhan,ba4,ba4,ba4,ba4,ba4,ba1,wuhan,ba4,4526856.0,4826260.0,3406222.0,7079902.0,97672.0,686297.0,3792320.0,1740760.0,3921870.0,5620338.0
ba1,ba4,ba4,wuhan,ba1,ba4,ba1,ba1,wuhan,wuhan,ba1,wuhan,ba1,3897722.0,6996143.0,1720505.0,3725688.0,2720166.0,2877068.0,3788428.0,1203647.0,2813612.0,2455611.0
wuhan,ba1,wuhan,wuhan,ba1,ba1,ba4,ba1,ba1,ba4,ba1,ba4,wuhan,2189855.0,5806466.0,3848554.0,3154880.0,2582686.0,1792020.0,5445129.0,4237364.0,3245007.0,1216293.0
ba4,ba1,wuhan,ba1,wuhan,wuhan,ba4,ba1,ba1,wuhan,wuhan,ba4,ba1,5392017.0,3355833.0,2156352.0,792256.0,6881029.0,1645936.0,1135642.0,2254861.0,5118407.0,937367.0
ba4,ba4,ba1,ba4,wuhan,ba1,ba4,ba4,ba4,wuhan,ba1,ba1,wuhan,4345396.0,2179850.0,5646749.0,1198706.0,3254202.0,1823059.0,4172066.0,961210.0,6088140.0,2462750.0
ba1,wuhan,wuhan,ba1,wuhan,ba1,wuhan,ba4,wuhan,ba4,wuhan,ba1,wuhan,2760228.0,1774912.0,2510271.0,2870111.0,2648862.0,1095984.0,5402999.0,370595.0,1820478.0,1770548.0
