sample_name	sample_id	construct	replicate	concentration	bin	mean_log10_PEs	std_log10_PEs	mean_log10_FITCs	std_log10_FITCs
Omi32_a_7_3	1	Omi32	a	7	3	2.052993738626774	0.08398218784831467	4.087300852859439	0.6179608694136184
Omi32_a_7_4	2	Omi32	a	7	4	2.052993738626774	0.08398218784831467	4.087300852859439	0.6179608694136184
Omi32_a_8_1	73	Omi32	a	8	1	2.014641100791889	0.04607205101987337	4.133107273988131	0.6596175207783723
Omi32_a_8_2	74	Omi32	a	8	2	2.695231849405071	0.38793315573051834	4.183021371111868	0.6265734019700128
Omi32_a_8_3	3	Omi32	a	8	3	2.014641100791889	0.04607205101987337	4.133107273988131	0.6596175207783723
Omi32_a_8_4	4	Omi32	a	8	4	2.014641100791889	0.04607205101987337	4.133107273988131	0.6596175207783723
Omi32_a_F_1	75	Omi32	a	F	1	2.0	0.0	2.5047921247445855	0.33244534406368986
Omi32_a_F_2	76	Omi32	a	F	2	2.0	0.0	3.2297204995992073	0.1491374294148137
Omi32_a_F_3	77	Omi32	a	F	3	2.0	0.0	3.7715893884134597	0.1737061946251769
Omi32_a_F_4	78	Omi32	a	F	4	2.0	0.0	4.232475238417307	0.07454345552003952
Omi32_a_F_5	79	Omi32	a	F	5	2.0	0.0	4.461798091109646	0.06555821521806283
Omi32_a_F_6	80	Omi32	a	F	6	2.0	0.0	4.714651560774559	0.11112114524210148
Omi32_b_2_1	86	Omi32	b	2	1	2.1664712052547266	0.1294964820277122	2.72227692396726	0.2507112884775913
Omi32_b_2_2	87	Omi32	b	2	2	3.227718782691803	0.39962653053324976	3.6158329581971986	0.5623107368813768
Omi32_b_2_3	88	Omi32	b	2	3	4.1637567115508825	0.1543248968513373	4.475467212145913	0.19988062159396916
Omi32_b_2_4	89	Omi32	b	2	4	4.556918389576111	0.12622671916588618	4.708524638250734	0.14565331619984379
Omi32_b_3_1	90	Omi32	b	3	1	2.1508607859731246	0.13131576633155698	2.8177951440521833	0.3017296160795729
Omi32_b_3_2	91	Omi32	b	3	2	3.0348574020832344	0.3157308977132552	3.607954104527797	0.5460800165210015
Omi32_b_3_3	92	Omi32	b	3	3	3.835236214857977	0.18048614888778414	4.4204266266407695	0.26734958905185724
Omi32_b_3_4	93	Omi32	b	3	4	4.370607560079034	0.1556441939305766	4.616020604824539	0.17339609280611873
Omi32_b_4_1	94	Omi32	b	4	1	2.131437237186076	0.12513443501250715	3.000168020296594	0.35986089227715345
Omi32_b_4_2	95	Omi32	b	4	2	2.772866810575056	0.21432589588642578	3.8414559495219316	0.5281152289062642
Omi32_b_4_3	96	Omi32	b	4	3	3.361567471702343	0.1493503933472135	4.414551504556914	0.2819682195943504
Omi32_b_4_4	97	Omi32	b	4	4	3.9363385842519194	0.21007992462947522	4.563581969677729	0.1904971892069704
Omi32_b_5_1	98	Omi32	b	5	1	2.107062668961687	0.12183923331119495	3.4794120782947693	0.5740331785093932
Omi32_b_5_2	99	Omi32	b	5	2	2.5370139030996133	0.10291383249801116	4.251165467881947	0.4065681739365311
Omi32_b_5_3	100	Omi32	b	5	3	2.9043750822354037	0.11514056580103989	4.472057741572563	0.2523890272199161
Omi32_b_5_4	101	Omi32	b	5	4	3.3938010746944176	0.19370286585512847	4.570293522144709	0.21648027107575907
Omi32_b_6_1	102	Omi32	b	6	1	2.0846973082842455	0.11411707074091453	3.9562013814950103	0.6459481994704929
Omi32_b_6_2	103	Omi32	b	6	2	2.4593678804437342	0.06367113822959355	4.436221341474639	0.36971771973253104
Omi32_b_6_3	104	Omi32	b	6	3	2.8084307683832592	0.19788838475599513	4.575721688715547	0.2752113831776432
Omi32_b_6_4	12	Omi32	b	6	4	2.0846973082842455	0.11411707074091453	3.9562013814950103	0.6459481994704929
Omi32_b_7_1	105	Omi32	b	7	1	2.077173944938374	0.10651010680116915	4.130369304022976	0.622357303740113
Omi32_b_7_2	106	Omi32	b	7	2	2.514002301406243	0.26728961197699325	4.517137651866732	0.4427933871360351
Omi32_b_7_3	5	Omi32	b	7	3	2.077173944938374	0.10651010680116915	4.130369304022976	0.622357303740113
Omi32_b_7_4	6	Omi32	b	7	4	2.077173944938374	0.10651010680116915	4.130369304022976	0.622357303740113
Omi32_b_8_1	107	Omi32	b	8	1	2.0313129745577787	0.0701354002564778	4.15858195304808	0.6526808540221043
Omi32_b_8_2	108	Omi32	b	8	2	2.738479400384712	0.44423523428020895	4.2755382165634535	0.601807396028552
Omi32_b_8_3	7	Omi32	b	8	3	2.0313129745577787	0.0701354002564778	4.15858195304808	0.6526808540221043
Omi32_b_8_4	8	Omi32	b	8	4	2.0313129745577787	0.0701354002564778	4.15858195304808	0.6526808540221043
Omi32_b_F_1	109	Omi32	b	F	1	2.0	0.0	2.734539778888347	0.36430567892568855
Omi32_b_F_2	110	Omi32	b	F	2	2.0	0.0	3.461007725728712	0.15313317734258103
Omi32_b_F_3	111	Omi32	b	F	3	2.0	0.0	4.022393191111653	0.16784856287991629
Omi32_b_F_4	112	Omi32	b	F	4	2.0	0.0	4.3833563876421815	0.05222646249346995
Omi32_b_F_5	113	Omi32	b	F	5	2.0	0.0	4.569916391801601	0.05887011665676499
Omi32_b_F_6	114	Omi32	b	F	6	2.0	0.0	4.807179660333443	0.1072186438307154
