step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,bootstrap_0,bootstrap_1,bootstrap_2,bootstrap_3,bootstrap_4,bootstrap_5,bootstrap_6,bootstrap_7,bootstrap_8,bootstrap_9
ba1,ba1,ba4,ba4,wuhan,wuhan,ba1,ba4,ba1,wuhan,wuhan,ba4,wuhan,0.0003863004703978187,0.0005129047776123841,0.0009688266439207027,0.0016730959317445254,0.0011127327491345508,0.0012776365891329093,0.003085784586605331,0.000904151436878723,0.0010493592157902716,0.0005813447714919247
ba1,ba1,ba4,wuhan,ba1,wuhan,wuhan,ba1,ba4,ba4,wuhan,ba1,ba1,0.0006261849004235762,0.0008588023075318754,0.0007685061841023618,0.0011429091293640552,0.0013502465548593102,0.0013153785840099301,0.0006153531027812152,0.001261966809055308,0.00028887702025282735,0.0003457130086062842
ba4,wuhan,ba4,ba4,wuhan,ba4,ba1,ba4,ba1,ba4,wuhan,ba1,ba4,0.00354659071696573,0.0006346377530798658,0.0010342962076666593,0.0010091839485024596,0.00013506921795103006,0.0002038184258294192,0.0018487054318413595,0.0007875752303136641,0.000470921091626091,0.002229645586308262
wuhan,ba4,ba4,ba1,ba1,wuhan,ba1,ba4,ba1,wuhan,ba1,ba4,wuhan,0.0009981197662138127,0.0009455043531290009,0.0007051381631863686,0.0020882237564114705,0.0014425804275138606,0.0016467623542487213,0.0018182661920943186,0.001467053827966812,0.0015827893805716248,0.0007575508468093004
wuhan,ba1,ba4,ba4,ba1,ba4,ba4,wuhan,wuhan,wuhan,ba4,ba4,ba4,0.00039299508582261696,0.00027628824936079804,0.00014750700241113158,0.0003264015717803006,6.511418357745954e-05,3.442429579745614e-05,0.000356516950452602,0.00037975618382978465,4.960827620488612e-05,0.00017283646442828633
wuhan,ba4,ba1,ba1,wuhan,ba4,ba4,ba4,ba4,ba1,wuhan,wuhan,ba1,0.0009572753034124458,0.0006511226372282352,0.00038751114429731975,0.001384177393281384,0.0006757663885923764,0.0010227299715136584,0.00022065427529704846,0.0017338520751812709,0.0004971522095212522,0.0006159290938352111
wuhan,ba1,ba1,ba1,ba1,ba4,ba1,ba4,ba1,ba4,wuhan,ba1,ba1,0.0017028407065988532,0.001176574216310041,0.0003553551943802648,0.0008002174065049963,0.0016532437184388013,0.0011042267898987194,0.0003713402441173506,0.002608322285062738,0.00031423374974416126,0.00032314759149095894
ba1,ba1,wuhan,ba1,ba1,wuhan,ba4,ba1,ba4,wuhan,ba4,ba4,ba1,0.0005196700058666752,0.0017309949777550605,0.0008799950429897768,0.002062317837499199,0.001830092356190073,0.0023124267546744924,0.0004509016820927109,0.001479922958549876,0.000857820909238048,0.0002529782840512025
wuhan,ba4,ba1,ba1,wuhan,wuhan,ba4,wuhan,ba4,ba1,ba4,ba4,ba1,0.001362416133333156,0.001481535785194108,0.00042707923811742695,0.0016370555974198303,0.0013415414241078022,0.0015096709010301254,0.00016814144629120198,0.0022982765508153535,0.0006016305340730601,0.00035229179482338584
ba4,ba4,ba4,ba1,ba4,ba1,ba4,wuhan,wuhan,ba1,ba4,wuhan,wuhan,0.0005893025576259289,0.000301950441514752,0.00017845430832518153,0.0007424543602957689,0.00034137332410377985,0.00047213815794063674,0.0015564686529089637,0.00023440418991573916,0.001921437285856204,0.0009925590472804734
