path_rank,path,step_0,step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13
36,0000000000000->0100000000000->1100000000000->1100001000000->1100001001000->1101001001000->1101001101000->1101011101000->1101011111000->1101111111000->1111111111000->1111111111001->1111111111011->1111111111111,0,2048,6144,6208,6216,6728,6760,6888,6904,7160,8184,8185,8187,8191
37,0000000000000->0000100000000->0000100000001->0000110000001->0100110000001->0110110000001->0111110000001->1111110000001->1111110000011->1111110001011->1111110101011->1111111101011->1111111111011->1111111111111,0,256,257,385,2433,3457,3969,8065,8067,8075,8107,8171,8187,8191
38,0000000000000->0000100000000->1000100000000->1000100000001->1001100000001->1001100010001->1001100110001->1011100110001->1111100110001->1111100111001->1111100111011->1111101111011->1111111111011->1111111111111,0,256,4352,4353,4865,4881,4913,5937,7985,7993,7995,8059,8187,8191
39,0000000000000->0000010000000->1000010000000->1000010000010->1000010000110->1000010000111->1100010000111->1101010000111->1101010100111->1101010101111->1111010101111->1111011101111->1111011111111->1111111111111,0,128,4224,4226,4230,4231,6279,6791,6823,6831,7855,7919,7935,8191
40,0000000000000->0000000010000->0000000010010->0000000010110->0000100010110->0001100010110->0011100010110->0111100010110->0111100011110->0111110011110->1111110011110->1111111011110->1111111111110->1111111111111,0,16,18,22,278,790,1814,3862,3870,3998,8094,8158,8190,8191
41,0000000000000->0000000000010->0000010000010->0000010000011->0000010000111->0100010000111->0101010000111->0101010001111->1101010001111->1101010101111->1111010101111->1111011101111->1111011111111->1111111111111,0,2,130,131,135,2183,2695,2703,6799,6831,7855,7919,7935,8191
42,0000000000000->0001000000000->0001000100000->0001100100000->0011100100000->0111100100000->0111110100000->1111110100000->1111110101000->1111111101000->1111111101001->1111111101011->1111111111011->1111111111111,0,512,544,800,1824,3872,4000,8096,8104,8168,8169,8171,8187,8191
43,0000000000000->0000000000001->0000001000001->0000001000101->1000001000101->1000001001101->1000101001101->1001101001101->1011101001101->1011101101101->1011111101101->1011111101111->1111111101111->1111111111111,0,1,65,69,4165,4173,4429,4941,5965,5997,6125,6127,8175,8191
44,0000000000000->0000000000010->0000000010010->0000100010010->0000100010011->1000100010011->1100100010011->1100110010011->1101110010011->1101110011011->1101110111011->1101111111011->1111111111011->1111111111111,0,2,18,274,275,4371,6419,6547,7059,7067,7099,7163,8187,8191
45,0000000000000->0001000000000->1001000000000->1001010000000->1001010000001->1001110000001->1011110000001->1011110000011->1111110000011->1111110001011->1111110101011->1111111101011->1111111111011->1111111111111,0,512,4608,4736,4737,4993,6017,6019,8067,8075,8107,8171,8187,8191
46,0000000000000->0000000010000->0100000010000->0101000010000->0101100010000->0111100010000->0111100011000->0111100011001->0111100111001->0111101111001->0111101111011->1111101111011->1111111111011->1111111111111,0,16,2064,2576,2832,3856,3864,3865,3897,3961,3963,8059,8187,8191
47,0000000000000->0000000000010->0000100000010->0000100000110->0001100000110->0001100010110->0011100010110->0111100010110->0111100011110->0111110011110->0111111011110->0111111111110->1111111111110->1111111111111,0,2,258,262,774,790,1814,3862,3870,3998,4062,4094,8190,8191
48,0000000000000->0000000000001->0000000000101->0010000000101->0011000000101->0011000100101->0111000100101->0111000110101->0111000111101->0111000111111->0111001111111->0111011111111->0111111111111->1111111111111,0,1,5,1029,1541,1573,3621,3637,3645,3647,3711,3839,4095,8191
49,0000000000000->0100000000000->1100000000000->1100000000100->1110000000100->1110000000101->1111000000101->1111000010101->1111100010101->1111110010101->1111110011101->1111111011101->1111111111101->1111111111111,0,2048,6144,6148,7172,7173,7685,7701,7957,8085,8093,8157,8189,8191
50,0000000000000->0000000000010->0000001000010->1000001000010->1000001010010->1100001010010->1100101010010->1101101010010->1101101010011->1101101110011->1101101111011->1111101111011->1111111111011->1111111111111,0,2,66,4162,4178,6226,6482,6994,6995,7027,7035,8059,8187,8191
51,0000000000000->0100000000000->0101000000000->0111000000000->0111100000000->0111100100000->0111110100000->0111110101000->1111110101000->1111111101000->1111111101001->1111111101011->1111111111011->1111111111111,0,2048,2560,3584,3840,3872,4000,4008,8104,8168,8169,8171,8187,8191
52,0000000000000->1000000000000->1001000000000->1001000100000->1001010100000->1001110100000->1011110100000->1111110100000->1111110101000->1111111101000->1111111101001->1111111101011->1111111111011->1111111111111,0,4096,4608,4640,4768,5024,6048,8096,8104,8168,8169,8171,8187,8191
53,0000000000000->0000000000010->0000000000011->0000000010011->0000100010011->1000100010011->1100100010011->1101100010011->1101110010011->1101110110011->1101110111011->1101111111011->1111111111011->1111111111111,0,2,3,19,275,4371,6419,6931,7059,7091,7099,7163,8187,8191
54,0000000000000->0000000000010->1000000000010->1000010000010->1000010000110->1000010000111->1100010000111->1101010000111->1101010100111->1101010101111->1111010101111->1111011101111->1111011111111->1111111111111,0,2,4098,4226,4230,4231,6279,6791,6823,6831,7855,7919,7935,8191
55,0000000000000->1000000000000->1000100000000->1000100000100->1000100000101->1000100010101->1000110010101->1001110010101->1011110010101->1011110011101->1111110011101->1111111011101->1111111111101->1111111111111,0,4096,4352,4356,4357,4373,4501,5013,6037,6045,8093,8157,8189,8191
56,0000000000000->1000000000000->1000000000001->1000010000001->1000010001001->1000010011001->1000110011001->1000110011011->1100110011011->1101110011011->1101110111011->1101111111011->1111111111011->1111111111111,0,4096,4097,4225,4233,4249,4505,4507,6555,7067,7099,7163,8187,8191
57,0000000000000->0000000000010->0000100000010->0100100000010->0100110000010->0110110000010->0110110000011->0111110000011->1111110000011->1111110001011->1111110101011->1111111101011->1111111111011->1111111111111,0,2,258,2306,2434,3458,3459,3971,8067,8075,8107,8171,8187,8191
58,0000000000000->0000000000100->0010000000100->0110000000100->0111000000100->0111010000100->0111010000101->1111010000101->1111110000101->1111110010101->1111110011101->1111111011101->1111111111101->1111111111111,0,4,1028,3076,3588,3716,3717,7813,8069,8085,8093,8157,8189,8191
59,0000000000000->0000000000010->0100000000010->0101000000010->0101000010010->0101000010011->0101000110011->0101000111011->0101100111011->0111100111011->1111100111011->1111101111011->1111111111011->1111111111111,0,2,2050,2562,2578,2579,2611,2619,2875,3899,7995,8059,8187,8191
60,0000000000000->0000000000001->0000100000001->0001100000001->0011100000001->0011100100001->0111100100001->0111100101001->0111101101001->0111101101011->0111101111011->1111101111011->1111111111011->1111111111111,0,1,257,769,1793,1825,3873,3881,3945,3947,3963,8059,8187,8191
61,0000000000000->0000000000100->0000000000101->0001000000101->0001000010101->0001000011101->0001100011101->1001100011101->1011100011101->1111100011101->1111110011101->1111111011101->1111111111101->1111111111111,0,4,5,517,533,541,797,4893,5917,7965,8093,8157,8189,8191
62,0000000000000->0000000000010->0000000000110->0000100000110->0001100000110->0001100010110->0011100010110->0111100010110->0111100011110->0111110011110->1111110011110->1111111011110->1111111111110->1111111111111,0,2,6,262,774,790,1814,3862,3870,3998,8094,8158,8190,8191
63,0000000000000->0000000000100->0000000000101->0100000000101->0110000000101->0111000000101->0111100000101->0111100001101->0111101001101->0111111001101->1111111001101->1111111011101->1111111111101->1111111111111,0,4,5,2053,3077,3589,3845,3853,3917,4045,8141,8157,8189,8191
