step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,bootstrap_0,bootstrap_1,bootstrap_2,bootstrap_3,bootstrap_4,bootstrap_5,bootstrap_6,bootstrap_7,bootstrap_8,bootstrap_9
ba1,ba1,ba1,ba1,ba1,ba1,ba4,ba4,wuhan,wuhan,wuhan,wuhan,wuhan,882476.0,237656.0,474776.0,266730.0,482896.0,241725.0,1127181.0,139676.0,414743.0,1274298.0
ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,wuhan,wuhan,wuhan,wuhan,703061.0,227686.0,1629165.0,767932.0,281334.0,518004.0,935554.0,254021.0,846702.0,567833.0
ba4,ba4,ba4,ba4,ba4,wuhan,wuhan,ba1,ba1,ba1,ba1,ba1,ba1,877728.0,937076.0,1620118.0,382412.0,489871.0,606510.0,745915.0,449898.0,477919.0,223195.0
ba4,ba4,ba4,wuhan,wuhan,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,672905.0,759489.0,1335973.0,425504.0,542855.0,640219.0,678145.0,489262.0,529776.0,283169.0
wuhan,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba4,ba4,ba4,ba4,916770.0,506300.0,5660.0,238335.0,16664.0,47493.0,188324.0,250604.0,22953.0,99290.0
wuhan,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba1,ba1,ba1,ba1,694286.0,1337237.0,1146082.0,384122.0,458936.0,1013774.0,783003.0,913129.0,211733.0,219794.0
ba1,ba4,ba4,ba4,ba4,ba4,ba4,ba4,wuhan,wuhan,wuhan,wuhan,wuhan,861345.0,505043.0,1155171.0,444484.0,642485.0,397841.0,1185779.0,97652.0,477814.0,1544621.0
ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba4,ba4,ba4,1092590.0,431376.0,17566.0,65811.0,5533.0,12630.0,134533.0,14655.0,14886.0,469886.0
wuhan,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba4,1341362.0,488512.0,120154.0,747550.0,32030.0,77145.0,227104.0,420528.0,6982.0,496236.0
wuhan,wuhan,wuhan,ba4,ba4,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,615731.0,926782.0,1033967.0,350408.0,706486.0,617788.0,1017571.0,921258.0,335790.0,250768.0
ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,wuhan,ba1,355051.0,895416.0,1075163.0,436742.0,374193.0,739728.0,442087.0,277256.0,746004.0,162436.0
ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,wuhan,wuhan,wuhan,676890.0,153634.0,333341.0,138223.0,335349.0,78451.0,520789.0,42501.0,226549.0,498814.0
ba4,ba1,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,216889.0,23842.0,457821.0,275814.0,108740.0,186483.0,249866.0,154123.0,262379.0,38124.0
wuhan,wuhan,wuhan,wuhan,wuhan,ba1,ba4,ba4,ba4,ba4,ba4,ba4,ba4,309992.0,294955.0,12036.0,192513.0,4968.0,27904.0,125000.0,146355.0,8986.0,106987.0
ba4,ba4,ba4,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba1,170969.0,557776.0,616213.0,108554.0,307432.0,353718.0,228714.0,133820.0,361932.0,57095.0
ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,wuhan,331105.0,227591.0,506564.0,304070.0,129281.0,158952.0,483163.0,121954.0,387316.0,99460.0
