step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,bootstrap_0,bootstrap_1,bootstrap_2,bootstrap_3,bootstrap_4,bootstrap_5,bootstrap_6,bootstrap_7,bootstrap_8,bootstrap_9
wuhan,ba1,ba4,ba4,wuhan,wuhan,ba4,ba4,ba4,ba1,ba4,ba1,ba4,2693621.0,1938106.0,487609.0,2116839.0,83698.0,266631.0,1483580.0,1526865.0,14057.0,867834.0
ba4,wuhan,ba1,ba4,wuhan,wuhan,ba1,ba4,ba1,wuhan,wuhan,ba4,ba1,576357.0,1727857.0,3027672.0,857096.0,1200137.0,1089959.0,1410528.0,1031063.0,2645027.0,294090.0
ba4,ba1,wuhan,wuhan,ba1,ba1,wuhan,ba1,ba1,wuhan,ba4,ba4,ba1,429758.0,1032567.0,1562344.0,733782.0,913158.0,1485063.0,340646.0,1021486.0,1673243.0,53203.0
wuhan,ba1,ba1,ba4,ba4,ba1,wuhan,ba4,ba4,ba1,wuhan,ba4,ba1,1282112.0,2454364.0,1177975.0,1441540.0,1927142.0,2825536.0,1105845.0,2343169.0,1490366.0,179410.0
ba1,ba1,ba4,wuhan,ba1,ba4,ba4,wuhan,ba4,wuhan,wuhan,ba1,ba4,5009138.0,2410283.0,960346.0,1601744.0,250111.0,203460.0,1565753.0,887618.0,14952.0,4099499.0
wuhan,ba1,wuhan,ba1,ba4,wuhan,ba1,ba1,ba1,ba4,wuhan,ba4,ba1,1252292.0,2367188.0,1275164.0,1282230.0,1538410.0,2416318.0,1158771.0,2571158.0,1145163.0,186629.0
wuhan,ba4,wuhan,wuhan,ba4,ba4,ba4,ba4,ba4,ba1,ba4,wuhan,wuhan,1015788.0,928980.0,1655990.0,1391700.0,618596.0,1136931.0,1457758.0,944784.0,358661.0,906663.0
ba4,ba4,ba1,wuhan,ba4,ba4,ba1,ba4,ba4,ba4,ba1,ba1,ba1,1049701.0,1547143.0,2116834.0,718641.0,743570.0,855352.0,930711.0,772520.0,792491.0,439220.0
ba1,ba1,wuhan,ba1,wuhan,ba1,ba1,ba1,ba4,ba4,wuhan,wuhan,wuhan,1276394.0,383218.0,1224036.0,461778.0,1054455.0,451700.0,1629533.0,289787.0,690795.0,1487312.0
ba4,wuhan,wuhan,ba1,ba4,ba1,wuhan,wuhan,ba4,ba1,ba1,ba4,ba1,641628.0,887839.0,2790068.0,1208051.0,1396790.0,965630.0,1130344.0,859741.0,2106677.0,327328.0
ba4,ba4,wuhan,ba1,ba1,wuhan,ba1,wuhan,wuhan,wuhan,ba1,ba4,ba1,479682.0,1276640.0,2952734.0,1232136.0,856018.0,1307197.0,646436.0,1107844.0,1492767.0,348086.0
ba1,ba4,ba1,wuhan,wuhan,wuhan,ba1,ba4,wuhan,ba4,ba4,wuhan,wuhan,1172573.0,1105737.0,1290239.0,748734.0,1197111.0,500437.0,1914732.0,160679.0,584077.0,2369662.0
ba1,ba1,ba4,ba4,wuhan,ba1,ba4,ba1,ba4,ba4,ba4,wuhan,ba4,3349323.0,2244212.0,365114.0,503928.0,682331.0,84845.0,1360070.0,606008.0,94446.0,3325063.0
ba1,wuhan,ba4,ba4,ba1,wuhan,ba4,wuhan,ba4,ba1,wuhan,ba1,wuhan,3198534.0,864040.0,2739649.0,1969205.0,2538205.0,525805.0,7662657.0,231637.0,1451458.0,2462340.0
ba1,ba4,wuhan,wuhan,ba4,wuhan,ba4,wuhan,ba1,ba1,wuhan,ba1,ba4,5184023.0,3416200.0,1770978.0,2179271.0,172794.0,199311.0,1350643.0,679071.0,35785.0,4412992.0
ba4,ba1,ba1,wuhan,ba4,ba1,ba4,wuhan,wuhan,ba4,ba4,ba4,ba1,458460.0,819407.0,819627.0,613659.0,789982.0,934332.0,186182.0,866676.0,1428767.0,29609.0
ba4,ba1,wuhan,ba4,ba1,ba4,ba1,ba4,ba1,ba4,ba4,ba4,ba1,729413.0,908802.0,1528409.0,894116.0,1093929.0,1432241.0,430149.0,1574448.0,2057260.0,77317.0
ba4,ba1,ba4,ba4,wuhan,ba4,ba4,wuhan,wuhan,ba4,ba4,ba1,wuhan,1669297.0,292651.0,2160460.0,1460996.0,780964.0,757780.0,2437316.0,740336.0,1772398.0,377142.0
wuhan,ba4,ba4,wuhan,ba4,ba1,wuhan,ba4,wuhan,ba4,ba1,wuhan,ba1,1585505.0,4444404.0,2008213.0,1058644.0,1655591.0,4361595.0,1574611.0,1345028.0,783928.0,651713.0
ba1,wuhan,ba1,ba1,ba4,ba1,wuhan,wuhan,wuhan,wuhan,wuhan,ba1,wuhan,1204323.0,359540.0,1383858.0,629599.0,1330502.0,219802.0,4448103.0,79695.0,652568.0,1341555.0
ba4,ba1,ba1,ba1,ba4,wuhan,wuhan,ba4,ba4,ba1,ba1,wuhan,ba4,3880267.0,1168459.0,1047872.0,1452114.0,389953.0,107233.0,678812.0,1637134.0,412871.0,1215331.0
wuhan,ba1,wuhan,wuhan,wuhan,ba1,wuhan,ba1,wuhan,ba1,wuhan,ba1,wuhan,1726661.0,624164.0,1039899.0,1888887.0,1221367.0,1118531.0,3115559.0,1220260.0,603704.0,401650.0
ba1,ba1,ba1,ba4,ba1,ba1,ba4,ba1,ba1,ba1,ba4,wuhan,wuhan,2013743.0,718047.0,931208.0,580592.0,1447494.0,574365.0,2004316.0,260920.0,807783.0,2053401.0
