"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue B-A","585_15 YG E-A","Time"
135075,104455,84747.5,98970.2,90790,71440.8,20977,31895.1,0.316
164796,151320,71372.4,185869,172398,70657.1,26763.2,48960.1,0.317
93747.5,77826,78943.3,89058.9,82764,70520.6,14936.6,23825.8,0.318
139195,120881,75464.8,102806,94195,71527.4,15199.3,26321,0.318
127051,105497,78925.7,118622,109007,71316.6,24854.1,44949.4,0.32
112063,103237,71138.8,180198,161603,73077.1,17599.2,33117.4,0.322
171956,161316,69858.5,138539,128770,70507.6,25752.2,50808.9,0.324
120123,101892,77262,161427,147733,71610.9,18287.2,33736.9,0.326
145624,122541,77881,133217,123163,70885.7,7685.91,19695.9,0.326
136574,112418,79618.2,206211,184492,73251.1,25059.9,45387.9,0.327
126408,118132,70127.3,167891,154594,71172.9,9099.67,95935.8,0.328
115014,101249,74445.9,139377,129415,70580.6,28520.5,50961.1,0.328
131547,108282,79616.6,166977,149029,73428.9,8460.94,16821.4,0.328
146742,123660,77768.7,104309,92110,74215.9,40379.6,66420.1,0.328
125705,112325,73342.4,129861,121335,70141.4,11500.9,27032.6,0.329
92832.6,77918,78080.5,144444,134961,70141,15797.6,30316,0.329
123331,102697,78703.3,124581,117579,69438.5,16010.1,34766.1,0.331
147286,125789,76736.2,94138.2,83183,74167.1,23213.3,53059.6,0.332
150009,126815,77522.2,174098,156816,72758.4,17312.4,34941.8,0.333
144076,131900,71585.6,143139,132042,71044,20054.9,38052.9,0.334
200419,167944,78208.7,125090,113962,71935.4,18227.5,29117.2,0.335
177235,170640,68068.8,114523,109058,68819.8,17008.8,37659.7,0.336
113615,100540,74059.1,74821.2,69226,70832.9,22004.9,33293.2,0.336
125051,111217,73688.1,205746,187219,72021.3,12602.6,234117,0.339
146579,125080,76800.2,167417,152922,71747.9,10208.4,24643.6,0.339
111019,90405,80479.5,125306,110007,74650.1,41025.4,72205.6,0.34
102359,82981,80840.4,109904,99987,72036.3,27247.3,40527.2,0.34
174785,148842,76958.8,151145,138097,71728.3,36961.3,64569.7,0.341
166914,148104,73859.3,131650,116750,73900.1,15626.6,20738.2,0.343
185921,173285,70314.9,82081.3,79063,68037.9,18454.6,33682.1,0.344
130774,111152,77105.2,98647.4,88466,73078.4,13717,32759,0.344
139397,133600,68379.7,132814,126390,68866.8,15969.7,262143,0.344
173101,140919,80502.7,133569,119917,72997.1,35086,53851.3,0.345
178381,162264,72045.5,183228,166826,71979.4,24809.9,49927.6,0.346
182083,155365,76806.3,199032,182851,71335.4,18259,36279.9,0.348
140834,128905,71600.8,150949,141515,69905.1,18064.4,49469.1,0.35
101736,86129,77411.7,106854,98483,71106.9,21205,77180.3,0.352
159198,149001,70021.1,99865.1,91643,71415.8,21204.1,32891.2,0.353
171182,154736,72501.5,160593,147478,71364,27932.1,64857.6,0.353
135940,113881,78230.3,117032,108975,70381.6,41718.1,123616,0.354
105202,83221,82845.5,102889,96199,70093.7,28080.2,49844.9,0.354
142387,121583,76750.1,178407,161782,72270.7,27012.8,56101.1,0.357
117471,97533,78933.2,78553.5,73471,70069.5,47541.4,64609.7,0.357
169991,154741,71994.6,201304,183939,71723.1,26358.1,116898,0.357
105110,82218,83782.9,200136,180801,72544.4,16195.7,240166,0.357
119628,89336,87758,149125,131774,74165.5,25848.6,41121.4,0.358
119259,98861,79057.8,77371.9,72767,69683.3,16021.4,25952.1,0.358
122545,116677,68831.9,159358,149591,69814.8,44416.4,262143,0.358
159844,135324,77410.8,123619,113246,71538.9,13660.1,26460.2,0.359
95333.6,82981,75291.8,84211.8,78855,69988,42595.6,71964.7,0.359
157949,122841,84266.1,178724,163407,71678.9,11988.3,25745.9,0.363
144758,120097,78993.2,109133,101971,70138.7,15910,30542.2,0.366
134997,109492,80801.7,129425,115842,73220.6,48861.2,82080.1,0.367
117623,90284,85381,73575.2,69194,69685.6,26860.5,44264.7,0.367
95752.2,73725,85116.6,70565.3,66191,69867,31390.4,56189.8,0.368
119813,96063,81738.7,103932,95696,71176.3,30692.9,48329.4,0.369
163149,145812,73328.1,150029,138582,70949.4,9345.95,19742.9,0.369
137767,119940,75276.7,120544,105394,74956.7,45441.9,72297,0.37
105220,80569,85587.4,114318,104667,71578.6,13645,24253.9,0.37
179084,167704,69983.1,199090,172222,75760.2,20051.1,50963.7,0.371
173511,140507,80929.9,117536,106756,72153.8,14465.2,36038.9,0.371
128382,104461,80543.6,161874,145615,72853.4,51913.9,80352.3,0.371
149878,125460,78291.2,143741,127986,73603.2,71340.4,129751,0.372
109397,89053,80507.4,83955.2,78875,69757,24650.6,46151.8,0.372
109028,92488,77255.9,102125,95486,70092.5,22885.2,42963.2,0.374
100599,78905,83554.2,105415,97023,71204.8,15066.3,28145.4,0.374
155404,140705,72382.2,151559,143351,69288.3,6612.9,131436,0.375
107343,83436,84314.3,76452.5,63850,78471.3,16489.9,30898.1,0.375
131661,105987,81411.4,94764.2,87853,70691.6,21971.6,40676,0.376
154466,135349,74792.3,95153.9,90787,68688.3,13222.5,30905,0.377
114201,95676,78225.2,91674,84554,71054.5,32598.7,60307.5,0.377
123907,101681,79861.2,129515,104279,81396.1,36119,173457,0.379
101840,88476,75434.9,152476,138362,72221.4,5021.01,13550.2,0.381
157521,149117,69229.7,182926,168463,71162.4,46428,91106.4,0.381
166250,147000,74118.1,198292,181930,71430.1,24664.7,54047,0.383
179739,161511,72932.3,95297.7,88985,70185.2,6655.67,14214.9,0.383
143297,122032,76956.3,187112,168166,72919.5,23721.8,48367.6,0.384
141702,117016,79361.4,86063.6,81322,69357.2,19197.2,37660.6,0.384
103739,88089,77179.4,189646,172315,72127.6,11408.8,28302.8,0.385
174943,149221,76832.8,91609.6,85191,70473.7,6757.19,16921.5,0.386
124232,107392,75812.5,69543.5,65126,69981.4,14312,23575.3,0.389
108105,89539,79124.7,147264,135945,70992.7,10183,22550.4,0.389
172917,157397,71998.2,202545,181911,72969.5,25550.1,44805.9,0.389
143025,122325,76625.9,103714,88979,76389.1,23746.3,39006.4,0.389
143651,117740,79958.3,107356,98686,71293.3,25354.6,35235.9,0.389
108570,88976,79967.9,136280,123202,72492.8,32184.7,54228,0.39
103171,84837,79698.6,145021,132919,71502.8,6641.57,14991,0.391
152873,137844,72681.4,177809,162214,71836.5,55793.7,162051,0.391
166520,152249,71678.8,208357,190959,71506.9,9701.27,22663.5,0.392
165756,147676,73559.6,181373,163534,72685.1,32591.7,63874.5,0.392
168090,144144,76423.4,187946,171990,71616.1,29390,51994.7,0.392
118564,92069,84395.2,51658.2,47815,70803.5,6818.29,16666.6,0.392
109739,88296,81452,101998,93466,71518.1,13369.2,21427.2,0.393
159369,134318,77758.7,124282,113777,71586.7,29772.2,50239,0.393
150519,124552,79199.3,73912.7,71146,68084.5,12822.1,23549.2,0.393
140334,127285,72254.4,54928.9,52963,67968.6,6417.85,14719.5,0.394
176554,147384,78506.6,129569,120254,70612.6,48904.4,87870,0.394
152298,142665,69961,154275,141115,71647.8,34327.4,132496,0.394
113952,96815,77136.5,100181,94320,69608.7,27118.5,50233.8,0.396
122864,108571,74163.4,176115,161069,71657.8,10009.6,21065.3,0.396
122642,102161,78674.8,77841.9,72979,69902.9,14620.8,27323.2,0.399
139418,116291,78569.4,140782,127033,72629,22480.6,50472.2,0.399
121498,100438,79278,133877,118792,73858,39910.1,62056.2,0.401
201798,183674,72002.9,200141,178113,73641.1,19417.1,107883,0.401
128095,109021,77002.2,157901,138939,74480.3,30254.8,53438,0.402
109155,89848,79618.9,61051.6,58426,68481.1,16709.9,32221.3,0.404
149856,134329,73111.3,187000,166875,73439.5,8151.68,131350,0.404
105329,87496,78893.5,77465.9,71034,71470,12108.6,27377.2,0.405
130757,113141,75739.8,91181.4,82419,72503.5,4754.99,7990.08,0.406
153812,128510,78439.5,163212,148049,72248.2,20246.2,39312.7,0.41
132530,113790,76329.2,165504,148453,73063.3,20296.9,38595.8,0.413
128395,99705,84394,88720.5,82747,70267,9842.27,16029.8,0.414
133426,110028,79472.4,98228.1,89454,71964.1,13088.6,23056.7,0.415
156219,127932,80026.8,132249,115802,74843.9,32272.1,51280.4,0.416
175302,154215,74497.2,165048,152121,71105.4,14366,27432.8,0.416
134195,119920,73337.2,80702.8,75170,70359.7,11176.1,20216.2,0.418
98205.4,88233,72943.1,105429,96075,71917,24709.3,46092.6,0.419
