antigen,phenotype_name,scope,order,fold,r2_train,r2_test,n_samples,n_train_used,n_test_used,n_params,alpha_bonf,num_sig
expression,latent_logistic_v1,all,3,2,0.20666451014394693,0.10998918049382911,8150,7131,1019,378,0.00013227513227513228,24
expression,latent_logistic_v1,all,3,3,0.2085010073911988,0.09983973896380682,8150,7131,1019,378,0.00013227513227513228,22
expression,latent_logistic_v1,all,3,4,0.20408780262592585,0.128649416962053,8150,7131,1019,378,0.00013227513227513228,23
expression,latent_logistic_v1,all,3,5,0.21153864975243342,0.0779666715181987,8150,7131,1019,378,0.00013227513227513228,22
expression,latent_logistic_v1,all,3,6,0.2104734697784405,0.08345368993336189,8150,7132,1018,378,0.00013227513227513228,23
expression,latent_logistic_v1,all,3,7,0.20345204653244342,0.13381219296208946,8150,7132,1018,378,0.00013227513227513228,23
expression,latent_logistic_v1,all,4,0,0.2966830170758208,0.07047860624271829,8150,7131,1019,1093,4.574565416285453e-05,20
expression,latent_logistic_v1,all,4,1,0.29823378600145434,0.056461936191008255,8150,7131,1019,1093,4.574565416285453e-05,19
expression,latent_logistic_v1,all,4,2,0.30756248713141443,-0.014660707320193866,8150,7131,1019,1093,4.574565416285453e-05,21
expression,latent_logistic_v1,all,4,3,0.3030901910873237,0.01645533658426157,8150,7131,1019,1093,4.574565416285453e-05,22
expression,latent_logistic_v1,all,4,4,0.30447477525938194,-0.004388904828144469,8150,7131,1019,1093,4.574565416285453e-05,22
expression,latent_logistic_v1,all,4,5,0.30824938180074135,-0.023174444743611078,8150,7131,1019,1093,4.574565416285453e-05,20
expression,latent_logistic_v1,all,4,6,0.30594903638075444,-0.0050233567934137024,8150,7132,1018,1093,4.574565416285453e-05,18
expression,latent_logistic_v1,all,4,7,0.29628559514140596,0.06667908350919516,8150,7132,1018,1093,4.574565416285453e-05,20
