antigen,phenotype_name,scope,order,fold,r2_train,r2_test,n_samples,n_train_used,n_test_used,n_params,alpha_bonf,num_sig
ba1,raw,pos4_binders,4,0,0.7287975854243838,0.5969469803858638,3693,3231,462,794,6.297229219143577e-05,20
ba1,raw,pos4_binders,4,1,0.7300742046458231,0.5818568147657786,3693,3231,462,794,6.297229219143577e-05,18
ba1,raw,pos4_binders,4,2,0.733886405548676,0.5579136219477563,3693,3231,462,794,6.297229219143577e-05,19
ba1,raw,pos4_binders,4,3,0.7371372578493973,0.47439077605205304,3693,3231,462,794,6.297229219143577e-05,21
ba1,raw,pos4_binders,4,4,0.736883689167652,0.49501172638613256,3693,3231,462,794,6.297229219143577e-05,18
ba1,raw,pos4_binders,4,5,0.7366875317828177,0.5195012555842038,3693,3232,461,794,6.297229219143577e-05,19
ba1,raw,pos4_binders,4,6,0.7335945311458929,0.534029223843154,3693,3232,461,794,6.297229219143577e-05,19
ba1,raw,pos4_binders,4,7,0.7368394146558161,0.5220864159775087,3693,3232,461,794,6.297229219143577e-05,20
ba1,latent_hill_v1,all,1,0,0.7055316890857234,0.6886020799781735,7037,6157,880,14,0.0035714285714285718,9
ba1,latent_hill_v1,all,1,1,0.7012442458921462,0.7191963057032903,7037,6157,880,14,0.0035714285714285718,10
ba1,latent_hill_v1,all,1,2,0.706175042276215,0.6847159951171568,7037,6157,880,14,0.0035714285714285718,10
ba1,latent_hill_v1,all,1,3,0.7044725317147322,0.6961095869176046,7037,6157,880,14,0.0035714285714285718,10
ba1,latent_hill_v1,all,1,4,0.7000018788257074,0.7259440804725981,7037,6157,880,14,0.0035714285714285718,10
ba1,latent_hill_v1,all,1,5,0.7021214573587893,0.7131882954432646,7037,6158,879,14,0.0035714285714285718,9
ba1,latent_hill_v1,all,1,6,0.7024284483167808,0.7103030615388756,7037,6158,879,14,0.0035714285714285718,10
ba1,latent_hill_v1,all,1,7,0.7069111856084749,0.6800398980707343,7037,6158,879,14,0.0035714285714285718,9
ba1,latent_hill_v1,all,2,0,0.7526511931380577,0.7307538778750715,7037,6157,880,92,0.0005434782608695652,27
ba1,latent_hill_v1,all,2,1,0.7496534392397454,0.7530889631813309,7037,6157,880,92,0.0005434782608695652,28
ba1,latent_hill_v1,all,2,2,0.752719226087138,0.7303241452199609,7037,6157,880,92,0.0005434782608695652,24
ba1,latent_hill_v1,all,2,3,0.750685146815068,0.7455142842474813,7037,6157,880,92,0.0005434782608695652,26
ba1,latent_hill_v1,all,2,4,0.7480401892964005,0.7625876552741123,7037,6157,880,92,0.0005434782608695652,28
ba1,latent_hill_v1,all,2,5,0.749102607984766,0.7571033163734051,7037,6158,879,92,0.0005434782608695652,26
ba1,latent_hill_v1,all,2,6,0.7505290432497571,0.7468176006416629,7037,6158,879,92,0.0005434782608695652,28
ba1,latent_hill_v1,all,2,7,0.7533615093568122,0.727202731363248,7037,6158,879,92,0.0005434782608695652,27
ba1,latent_hill_v1,all,3,0,0.7838954862043342,0.736436897246294,7037,6157,880,378,0.00013227513227513228,38
ba1,latent_hill_v1,all,3,1,0.7803811368338676,0.7643335610564461,7037,6157,880,378,0.00013227513227513228,36
ba1,latent_hill_v1,all,3,2,0.7844498245239461,0.7346587168443912,7037,6157,880,378,0.00013227513227513228,39
ba1,latent_hill_v1,all,3,3,0.7823185883008849,0.7491750489386468,7037,6157,880,378,0.00013227513227513228,39
ba1,latent_hill_v1,all,3,4,0.779328687459477,0.7736520832284053,7037,6157,880,378,0.00013227513227513228,37
ba1,latent_hill_v1,all,3,5,0.7798416821727745,0.7687102407995184,7037,6158,879,378,0.00013227513227513228,37
ba1,latent_hill_v1,all,3,6,0.7809782797818903,0.7605829328579741,7037,6158,879,378,0.00013227513227513228,39
