step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,bootstrap_0,bootstrap_1,bootstrap_2,bootstrap_3,bootstrap_4,bootstrap_5,bootstrap_6,bootstrap_7,bootstrap_8,bootstrap_9
ba1,ba4,ba1,ba4,ba4,wuhan,wuhan,wuhan,wuhan,ba1,ba1,ba4,ba1,7.785994530673575e-05,8.226864003494001e-05,4.036609636555981e-05,8.945000955494868e-05,8.172420671871268e-05,7.305818084281272e-05,5.966717552410469e-05,7.012386916805576e-05,8.144679083471472e-05,4.9563035177670496e-05
ba1,ba1,ba4,ba4,wuhan,wuhan,ba1,ba4,ba1,wuhan,wuhan,ba4,wuhan,8.648347028746993e-05,6.19217886424523e-05,8.838681658090301e-05,5.8082653138817015e-05,6.422164852217377e-05,5.888160312638844e-05,8.146493322908695e-05,6.09257122014763e-05,8.148273602553096e-05,4.6448824655374735e-05
ba1,ba1,ba4,wuhan,ba1,wuhan,wuhan,ba1,ba4,ba4,wuhan,ba1,ba1,0.00013677208372623424,0.00013516265243508226,0.00010212459230192193,0.00010512500150801947,0.00011623688715905473,0.000118072324749338,0.00010858317060978598,0.0001107809017243932,0.00013862422317632064,8.507822992254432e-05
ba4,wuhan,ba4,ba4,wuhan,ba4,ba1,ba4,ba1,ba4,wuhan,ba1,ba4,6.896799295117135e-05,4.648488387697534e-05,6.241296512155994e-05,4.4109585976802265e-05,2.9841011012258574e-05,2.6836765930016553e-05,4.902373128374797e-05,4.7517001062272394e-05,6.902672497251798e-05,5.519867284573393e-05
wuhan,ba4,ba4,ba1,ba1,wuhan,ba1,ba4,ba1,wuhan,ba1,ba4,wuhan,6.160291096062853e-05,7.333834253759054e-05,7.549394913043456e-05,6.788825479080445e-05,6.202298654492604e-05,5.87258262200592e-05,7.534498759558893e-05,6.211803695683629e-05,6.298727175981108e-05,5.117706367749996e-05
wuhan,ba1,ba4,ba4,ba1,ba4,ba4,wuhan,wuhan,wuhan,ba4,ba4,ba4,4.0735237541131386e-05,5.224924031779748e-05,3.4549204663374475e-05,4.9709466757784205e-05,2.6889540168069575e-05,2.527863151150615e-05,4.078014532571962e-05,5.738793975363006e-05,4.3173380750974404e-05,4.308654387063912e-05
wuhan,ba4,ba1,ba1,wuhan,ba4,ba4,ba4,ba4,ba1,wuhan,wuhan,ba1,8.77537476141677e-05,0.000143068861855001,6.465086024398575e-05,9.176312426610475e-05,0.0001046289846510325,0.00011481573909308184,8.903674981737517e-05,0.00012213692365787613,0.0001048615039922402,7.983383448753516e-05
wuhan,ba1,ba1,ba1,ba1,ba4,ba1,ba4,ba1,ba4,wuhan,ba1,ba1,0.00011249302816803526,0.00021070611384631363,7.524042046336464e-05,0.00010149716969536293,0.0001312011427857592,0.00011424950113878812,9.934176679268921e-05,0.00015211678905173104,0.00010173924711270933,0.0001012553287160549
ba1,ba1,wuhan,ba1,ba1,wuhan,ba4,ba1,ba4,wuhan,ba4,ba4,ba1,0.000133662274656081,0.00010970543398864734,8.27602027109194e-05,9.827731175535616e-05,0.00012912254796279522,0.00011136021177652731,8.187147424430847e-05,0.00011396900294449967,0.00014446879888298372,6.982974289307846e-05
wuhan,ba4,ba1,ba1,wuhan,wuhan,ba4,wuhan,ba4,ba1,ba4,ba4,ba1,7.309721062983385e-05,0.00011072459283819542,6.0186325722289516e-05,8.122956848296933e-05,0.00010618291721249607,9.724005484421593e-05,6.67245820029339e-05,0.00011014599541721827,8.408123862190472e-05,5.994766475774806e-05
ba4,ba4,ba4,ba1,ba4,ba1,ba4,wuhan,wuhan,ba1,ba4,wuhan,wuhan,4.876144739918006e-05,3.5961578610277174e-05,6.363685026719068e-05,2.80306624606597e-05,3.720700916123722e-05,3.2676914796640156e-05,4.0503545904334054e-05,3.315687807521602e-05,5.737093901548299e-05,3.3897452114853054e-05
ba4,ba1,ba1,ba4,ba1,wuhan,ba4,wuhan,wuhan,wuhan,ba4,wuhan,ba4,9.374632279284154e-05,5.794135839335504e-05,6.738277444060165e-05,4.621106225550341e-05,3.642038839696493e-05,3.099205110084397e-05,5.451454495668996e-05,6.311976827627776e-05,0.00011035559215948366,6.899789422934231e-05
ba4,ba1,ba4,ba4,ba4,ba4,ba4,wuhan,ba1,ba4,ba1,ba4,wuhan,5.1640055443180144e-05,3.8946844453580924e-05,6.49410011275595e-05,2.8358529490524575e-05,4.716650537175371e-05,3.596583175513085e-05,4.535025295666047e-05,3.667473527595583e-05,6.557664684475858e-05,2.9180195866091407e-05
ba1,ba4,ba1,ba1,ba1,ba1,wuhan,ba4,ba1,ba1,wuhan,ba1,ba4,6.000335059070842e-05,4.9906082540534974e-05,5.2283365813637236e-05,6.848207097754406e-05,2.5844380918879154e-05,2.6993387107124283e-05,6.151367387073861e-05,5.0329722116662404e-05,5.737483289328282e-05,5.6279794322234345e-05
ba1,wuhan,ba1,ba1,wuhan,ba1,ba4,wuhan,ba1,wuhan,wuhan,wuhan,wuhan,0.00014020850744839053,8.839006498802151e-05,8.796987189402123e-05,9.125886446120818e-05,8.342554002785598e-05,7.432444813801056e-05,0.00010466119871444749,5.9071491651505245e-05,8.870845458302645e-05,6.546294944631693e-05
ba4,wuhan,ba4,ba1,wuhan,ba4,ba1,ba4,wuhan,ba4,ba1,wuhan,ba4,8.758399156409688e-05,5.3995542113008456e-05,6.54335788640561e-05,5.054992386103214e-05,3.224171723855549e-05,3.396473667845559e-05,5.0305131741262214e-05,4.9737723487891783e-05,0.0001010382325056436,6.125989492540261e-05
ba1,ba1,ba4,wuhan,wuhan,ba1,ba4,wuhan,ba1,wuhan,wuhan,ba4,ba1,0.00010775325306114554,9.472995124344025e-05,7.856533176474063e-05,8.423116300683724e-05,0.00010659019996532363,0.00010292566638015023,7.146637089666128e-05,9.066587083307121e-05,0.00012615839612309748,6.051413414796977e-05
ba4,ba4,ba4,ba1,ba1,ba4,ba1,ba4,ba4,ba4,ba4,ba1,ba4,3.9804582083741925e-05,3.2651217930292894e-05,4.5316503605569e-05,3.205405624611398e-05,1.7011384324741496e-05,1.6331569520446723e-05,3.282905271811469e-05,3.091588993840805e-05,4.879842324968683e-05,3.988342577963913e-05
ba1,wuhan,ba4,ba4,ba1,ba4,ba1,ba4,ba1,ba1,ba1,ba4,wuhan,0.00010635139453626287,7.145972814721334e-05,7.622128006739964e-05,7.526920113868252e-05,7.598090566329237e-05,6.586482585589735e-05,9.033580301206588e-05,5.1159278656570416e-05,7.509602941918542e-05,4.638381631456749e-05
ba4,ba4,ba1,ba1,ba1,wuhan,wuhan,ba1,wuhan,ba1,wuhan,wuhan,wuhan,5.7690302941566355e-05,4.410695198530559e-05,7.766527912541909e-05,3.342327870063165e-05,4.2075180760082717e-05,3.650818416266421e-05,5.415315530534506e-05,4.558621215226499e-05,7.283693281045746e-05,4.090482281930508e-05
ba1,wuhan,wuhan,ba1,ba4,ba4,ba1,ba1,ba4,ba1,ba1,wuhan,ba4,0.00012474225980844896,8.506757047276621e-05,6.861131487403059e-05,0.00010704778458152267,4.378370854729487e-05,5.293047344631946e-05,8.36369128628124e-05,6.81851149668472e-05,0.00010831291545678144,8.11180200645999e-05
wuhan,ba1,ba1,ba4,ba4,ba1,ba1,wuhan,ba1,ba4,wuhan,ba1,ba4,7.680643214593383e-05,0.0001101898901288383,7.075068739181945e-05,8.744435953272653e-05,4.8665387344432525e-05,4.4990225049956496e-05,8.221721347982887e-05,0.00011516877006893049,7.442146646980962e-05,9.956179201292248e-05
ba1,wuhan,ba1,wuhan,wuhan,wuhan,ba4,ba4,ba1,ba4,ba1,ba1,wuhan,0.00019665977455195034,0.00013463396139425145,0.00014186974505050098,0.00012601258350526047,0.00010964796292991165,0.00010825124959817331,0.00017869967439720634,7.463127226110411e-05,0.00012014654577662715,9.850606943061791e-05
ba4,wuhan,ba1,ba4,ba4,ba4,ba1,ba1,ba1,wuhan,ba1,ba4,wuhan,7.195077816618209e-05,4.9184624691691776e-05,6.806491523618936e-05,3.689425613210143e-05,5.806815374384615e-05,4.081802957085203e-05,5.687320797844843e-05,4.2442488559609616e-05,7.678387055860223e-05,3.742148179395635e-05
ba1,ba1,ba1,ba1,ba4,ba1,ba1,ba4,ba1,ba1,ba1,wuhan,wuhan,5.939491239877416e-05,4.841172740710261e-05,4.930149239466298e-05,4.449084077749683e-05,4.577954928504495e-05,4.152176193010009e-05,6.0759640415783134e-05,4.098193833771498e-05,6.12160998401635e-05,4.075592289926391e-05
ba4,wuhan,wuhan,ba1,wuhan,ba4,ba4,ba4,ba1,ba1,ba1,ba1,wuhan,0.00010075945046579366,6.75081713725081e-05,0.00012039060954260545,4.481874147818279e-05,7.4265460911193e-05,5.870977646040249e-05,8.421270493700567e-05,4.975964513916394e-05,9.637639173024258e-05,5.7842504690428276e-05
ba4,wuhan,wuhan,ba1,wuhan,ba1,ba1,wuhan,ba4,ba4,wuhan,ba1,ba4,7.921304866728395e-05,5.30740447817523e-05,8.264495855593263e-05,5.329264763696734e-05,3.9730912782492115e-05,3.3915274610263954e-05,5.94512839406037e-05,5.564491066030672e-05,8.851794259112612e-05,6.935056865899329e-05
ba4,wuhan,wuhan,wuhan,wuhan,ba4,wuhan,ba1,wuhan,wuhan,ba1,wuhan,ba4,6.004649607517667e-05,4.005061143368719e-05,4.573413321686539e-05,3.4675427912463644e-05,2.2052468398387735e-05,2.342594007754953e-05,3.5099910692525416e-05,3.482417139612511e-05,7.433256011151837e-05,4.276130206844727e-05
ba4,ba4,wuhan,ba4,ba4,ba1,ba4,ba1,ba4,wuhan,ba1,wuhan,wuhan,5.3765899238096025e-05,4.7253521643767024e-05,7.134562339014883e-05,3.180757448875774e-05,4.403080924538042e-05,3.694113383066349e-05,4.772098322717259e-05,3.791130401893492e-05,6.779726620936154e-05,3.9329405352129726e-05
wuhan,wuhan,ba4,ba4,wuhan,ba4,wuhan,ba4,ba4,ba1,ba4,ba4,ba1,5.0889247011890685e-05,6.644928904993004e-05,3.4280251556529605e-05,4.511546167214845e-05,7.923269529608895e-05,6.463244051333744e-05,4.033782716450848e-05,6.675146149504568e-05,4.63905390548546e-05,3.3187560288005694e-05
ba1,wuhan,wuhan,ba4,ba1,ba4,ba4,ba1,ba1,ba1,ba1,ba4,wuhan,0.00012030940295665015,8.270256014435228e-05,8.921882465224226e-05,8.740156942221024e-05,8.499689011512523e-05,7.040016596748844e-05,0.00010289153621132892,5.872437885147342e-05,8.400124273775848e-05,5.297302033378421e-05
ba1,ba1,wuhan,wuhan,wuhan,wuhan,ba4,wuhan,ba4,wuhan,ba4,wuhan,ba1,0.0001472785935949737,0.00012018112357543701,7.018870132563694e-05,8.994545018078223e-05,0.0001112969341424601,0.00012049292806811313,7.996210340746376e-05,0.00010228505824425566,0.00014381948243437573,7.380078281389673e-05
ba1,ba4,ba1,wuhan,ba4,ba4,wuhan,ba4,ba1,wuhan,ba1,ba1,ba4,9.356480954125266e-05,9.454120370856808e-05,8.262095962443567e-05,0.00011880691083788512,4.024566490887726e-05,4.644448760496338e-05,9.927495172877841e-05,8.408781581491556e-05,9.572619649120789e-05,9.941480832215057e-05
wuhan,ba4,ba1,ba1,ba4,wuhan,ba1,ba4,wuhan,ba1,ba4,ba4,ba4,4.357274278895095e-05,5.666462692993499e-05,4.149012815730339e-05,6.226410886259357e-05,2.9895797064532643e-05,2.8926769613773115e-05,5.612187476331369e-05,6.0241141131831903e-05,5.217772590791278e-05,5.491478905216264e-05
ba1,ba4,ba1,ba1,wuhan,ba4,ba4,ba4,ba4,ba4,ba1,wuhan,ba4,9.950249276860807e-05,8.371397545258061e-05,6.756076623072592e-05,0.00011354127766661273,3.381003409766315e-05,4.113972028737575e-05,8.005405207321137e-05,7.325185687992884e-05,0.00010486730834064463,8.375306299590616e-05
ba1,ba4,ba4,wuhan,ba1,ba4,ba1,ba1,wuhan,wuhan,ba1,wuhan,ba1,8.496178464607228e-05,8.893693363246317e-05,4.474534326206201e-05,7.962679669081506e-05,6.381724949291473e-05,7.996617266190422e-05,5.879739266748192e-05,6.32048825657675e-05,9.27253680232879e-05,5.218303476818316e-05
wuhan,ba1,wuhan,wuhan,ba1,ba1,ba4,ba1,ba1,ba4,ba1,ba4,wuhan,8.441214702213167e-05,0.0001025699396561532,9.228741750578966e-05,7.171611520948319e-05,8.227504682473691e-05,6.763073138951192e-05,9.230657681550047e-05,9.850408811376964e-05,8.462724999569124e-05,6.018745292120165e-05
ba4,ba1,wuhan,ba1,wuhan,wuhan,ba4,ba1,ba1,wuhan,wuhan,ba4,ba1,9.730652789613184e-05,7.523460678622815e-05,8.223247381410955e-05,5.161715375719015e-05,0.00011655894422855388,7.809883457820293e-05,5.677700777750149e-05,7.771306940221066e-05,0.00014435245270354497,5.4996094612979404e-05
ba4,ba4,ba1,ba4,wuhan,ba1,ba4,ba4,ba4,wuhan,ba1,ba1,wuhan,7.499669367530926e-05,6.200111426228216e-05,9.862250311489665e-05,3.595226272534098e-05,5.095313354793195e-05,4.537758084766256e-05,6.897616615342309e-05,4.7481065332862914e-05,7.549865781827041e-05,5.146912977893871e-05
ba1,wuhan,wuhan,ba1,wuhan,ba1,wuhan,ba4,wuhan,ba4,wuhan,ba1,wuhan,0.00018078958917779105,0.00011875268920095956,0.00013602653424576818,0.00011413475376339418,0.00010883858305938898,9.993595723304501e-05,0.00017012013569431871,7.214898508683234e-05,0.00011227639261646794,8.533308162329112e-05
