step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,bootstrap_0,bootstrap_1,bootstrap_2,bootstrap_3,bootstrap_4,bootstrap_5,bootstrap_6,bootstrap_7,bootstrap_8,bootstrap_9
ba1,ba1,ba1,wuhan,wuhan,wuhan,wuhan,wuhan,ba4,ba4,ba4,ba4,ba4,6.342734208119142e-05,4.938204526156533e-05,4.4739479173231557e-05,6.685485208906648e-05,3.188495885260583e-05,2.8691328672908602e-05,5.9000321754648625e-05,5.390273225420715e-05,7.636098108708182e-05,5.677351600415737e-05
wuhan,wuhan,wuhan,wuhan,wuhan,ba1,ba1,ba1,ba1,ba4,ba4,ba4,ba4,2.7535284547734062e-05,3.280886238950259e-05,2.2064100885439618e-05,2.9109669186581093e-05,1.8431219968210683e-05,1.5577299572659075e-05,2.747989642208644e-05,3.1810474335745624e-05,2.6148502993243774e-05,2.656516836551598e-05
ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,wuhan,ba4,ba4,ba4,2.0491324063492198e-05,1.6028455316427373e-05,1.2167160310500904e-05,1.821466920356677e-05,9.891046256497646e-06,8.322297229057943e-06,1.687506915803825e-05,1.4963366365936284e-05,2.1152923033690625e-05,1.6661589275334192e-05
wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba1,ba1,ba4,ba4,3.509582390187819e-05,4.089514273651303e-05,2.6703258968330024e-05,3.7086149659541586e-05,1.9701703202150687e-05,1.899698483560276e-05,3.242173075136747e-05,3.5771288527239034e-05,3.371976351875343e-05,3.341139402380222e-05
ba4,ba4,ba4,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,wuhan,wuhan,2.3508967527916365e-05,1.764461418872399e-05,3.003426667829384e-05,1.6458490422212224e-05,1.8801349806984884e-05,1.5410242529461463e-05,2.070902601457365e-05,1.6691982081969316e-05,2.8255927117346537e-05,1.7715348941946297e-05
ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,wuhan,ba1,ba1,2.931099779021788e-05,3.208607978766882e-05,2.4561507272560506e-05,1.9660313864788263e-05,2.8177285517084694e-05,2.5333652004458544e-05,2.212466020347026e-05,2.5459584072446995e-05,3.2006523177680545e-05,2.1565299271121744e-05
wuhan,wuhan,wuhan,wuhan,wuhan,ba4,ba4,ba4,ba1,ba1,ba1,ba1,ba1,7.381987538110924e-05,0.00011613382276406088,4.7454748680233054e-05,5.8976267010722844e-05,8.615046015983268e-05,8.075248432716166e-05,5.8268198004006154e-05,8.464220399715843e-05,5.7154481435534724e-05,5.1142868388998696e-05
ba4,ba1,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,4.8054221869690335e-05,3.185955795440461e-05,5.8436070462739194e-05,2.0840124171458794e-05,3.940660323430544e-05,2.923483371847552e-05,3.9136010383655964e-05,2.9122122843943097e-05,6.28816063595441e-05,2.9692640696927562e-05
wuhan,wuhan,wuhan,ba1,ba1,ba1,ba1,ba4,ba4,ba4,ba4,ba4,ba4,3.346782045151574e-05,3.856345327359458e-05,2.7650463714807392e-05,3.776254937118893e-05,2.3433448209249315e-05,2.0702706910675842e-05,3.330477797926841e-05,4.004688973759521e-05,3.299450809807264e-05,3.472812501607121e-05
ba4,ba4,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba1,ba1,ba1,ba1,ba1,4.541543575884053e-05,4.826215430220279e-05,3.683438012243658e-05,2.7759728594623236e-05,4.235012719250128e-05,3.840035032758831e-05,2.911214124457988e-05,3.6698537845382794e-05,4.960228131824543e-05,3.0985226946131656e-05
